link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
24,9800,9901,,,83.64001018102988,1,nan,120.0,motorway,1,,"LINESTRING (-112.03036 33.46287,-112.03039 33.46277,-112.03039 33.46269,-112.0304 33.46265,-112.03043 33.4626,-112.03046 33.46256,-112.03052 33.4625,-112.03056 33.46248,-112.03063 33.46245,-112.0307 33.46244,-112.03081 33.46244,-112.03092 33.46246)",24,,,,
25,22401,10000,,,428.06741050680773,1,nan,120.0,motorway,1,,"LINESTRING (-112.03644 33.4617,-112.03579 33.46174,-112.03552 33.46176,-112.03525 33.46178,-112.03486 33.46179,-112.03431 33.46179,-112.03406 33.46178,-112.03383 33.46176,-112.03362 33.46173,-112.03337 33.46168,-112.03291 33.46159,-112.03231 33.46147,-112.03209 33.46144,-112.03189 33.46143)",25,,,,
26,10102,37500,,,95.29962993560173,2,nan,120.0,motorway,1,,"LINESTRING (-112.03134 33.4615,-112.03091 33.46156,-112.03081 33.46158,-112.03075 33.46159,-112.03066 33.46159,-112.03059 33.46157,-112.0305 33.46154,-112.03047 33.46151,-112.03041 33.46146,-112.03038 33.46143)",26,,,,
27,19001,10500,,,324.53540271543807,1,nan,120.0,motorway,1,,"LINESTRING (-112.03743 33.46226,-112.03753 33.46268,-112.03758 33.46304,-112.03759 33.4633,-112.03756 33.46358,-112.03753 33.46379,-112.0375 33.46419,-112.03752 33.46454,-112.03761 33.46517)",27,,,,
28,10500,50900,,,61.00844184644478,2,nan,120.0,motorway,1,,"LINESTRING (-112.03761 33.46517,-112.0377 33.46531,-112.03776 33.46545,-112.03783 33.46555,-112.03789 33.46564,-112.03791 33.46566)",28,,,,
29,34400,50901,,,5.722118235320375,2,nan,120.0,motorway,1,,"LINESTRING (-112.03832 33.46578,-112.03827 33.4658)",29,,,,
30,11102,44800,,,238.18589086079345,1,nan,72.0,motorway,1,,"LINESTRING (-112.03876 33.47022,-112.03882 33.46953,-112.0388 33.469,-112.03879 33.46857,-112.03876 33.46807)",30,,,,
31,11202,33200,,,109.20408155184765,2,nan,72.0,motorway,1,,"LINESTRING (-112.03867 33.46689,-112.03868 33.46669,-112.03861 33.46639,-112.03859 33.46627,-112.03858 33.46618,-112.03859 33.46611,-112.0386 33.46606,-112.03863 33.46603,-112.03866 33.46598,-112.03871 33.46595)",31,,,,
32,34900,50902,,,1.3874694121434958,2,nan,120.0,motorway,1,,"LINESTRING (-112.0379 33.46586,-112.03791 33.46586)",32,,,,
33,11400,11302,,,100.58042019781551,1,nan,120.0,motorway,1,,"LINESTRING (-112.03903 33.46572,-112.03897 33.46571,-112.03888 33.46567,-112.0388 33.46563,-112.03874 33.46558,-112.0387 33.46552,-112.03866 33.46545,-112.03865 33.46538,-112.03864 33.46529,-112.03864 33.46513,-112.03862 33.46497)",33,,,,
34,3302,11500,,,395.5386908791814,1,nan,104.0,motorway,1,,"LINESTRING (-112.04725 33.46185,-112.04672 33.4619,-112.04575 33.46193,-112.04479 33.46196,-112.04403 33.46198,-112.04339 33.46196,-112.043 33.46196)",34,,,,
35,33702,23200,,,97.38373516155528,1,nan,104.0,motorway,1,,"LINESTRING (-112.02855 33.46216,-112.02905 33.46211,-112.02959 33.46211)",35,,,,
36,3801,12500,,,1103.2976897876931,1,nan,72.0,motorway,1,,"LINESTRING (-112.03824 33.46475,-112.0382 33.46427,-112.03817 33.46378,-112.03806 33.46335,-112.0379 33.46288,-112.03726 33.46169,-112.03704 33.46126,-112.03689 33.46079,-112.03683 33.46056,-112.03679 33.46037,-112.03674 33.45998,-112.03674 33.45967,-112.03684 33.45794,-112.03678 33.45568,-112.03676 33.45529,-112.03677 33.45501)",36,,,,
37,6300,19300,,,202.98496751985203,5,nan,104.0,motorway,1,,"LINESTRING (-112.03712 33.44154,-112.03713 33.44264,-112.03711 33.44337)",37,,,,
38,12802,20100,,,205.03726368945044,1,nan,72.0,motorway,1,,"LINESTRING (-112.03813 33.44648,-112.03817 33.4463,-112.0382 33.44594,-112.03822 33.44552,-112.0382 33.44463)",38,,,,
39,13600,39600,,,290.8613653337242,1,nan,72.0,motorway,1,,"LINESTRING (-112.03682 33.44126,-112.03675 33.44129,-112.03671 33.44131,-112.03668 33.44133,-112.03665 33.44136,-112.03664 33.4414,-112.03664 33.44145,-112.03664 33.44291,-112.03663 33.4435,-112.03661 33.44381)",39,,,,
