first_column,node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,Centroid,is_boundary,,,subarea_id
,202467,,-112.3599,33.696558,,,0,POINT (-112.359900 33.696558),,,,,1
,202466,,-112.360367,33.696725,,,0,POINT (-112.360367 33.696725),,,,,1
,202465,,-112.342605,33.724867,,,0,POINT (-112.342605 33.724867),,,,,
,202464,,-112.342753,33.711155,,,0,POINT (-112.342753 33.711155),,,,,1
,646,,-112.373623,33.693131,,,646,POINT (-112.373623 33.693131),646,1,,,1
,2137,,-112.385962,33.731851,,,2137,POINT (-112.385962 33.731851),2137,1,,,
,767,,-112.341724,33.710223,,,767,POINT (-112.341724 33.710223),767,1,,,1
,202463,,-112.348458,33.711168,,,0,POINT (-112.348458 33.711168),,,,,1
,2148,,-112.349574,33.720271,,,2148,POINT (-112.349574 33.720271),2148,1,,,
,766,,-112.342926,33.73331,,,766,POINT (-112.342926 33.733310),766,1,,,
,202462,,-112.335717,33.72489,,,0,POINT (-112.335717 33.724890),,,,,
,202370,,-112.324998,33.649988,,,0,POINT (-112.324998 33.649988),,,,,1
,202354,,-112.310974,33.638683,,,2,POINT (-112.310974 33.638683),,,,,1
,202353,,-112.32477,33.63666,,,0,POINT (-112.324770 33.636660),,,,,1
