first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,agent_type,PCE_unit,demand_period,volume,toll,travel_time,distance_km,node_sequence,time_sequence
,47,1,2,0,sov,sov,1,AM,1,0.0,12.3132,18.6107,3;4;5;6;7;8;9;10;11;12;,362.166656;363.450012;364.575012;365.866669;367.049988;368.587494;369.649994;370.799988;371.733337;372.345825;
,48,1,2,0,sov,sov,1,AM,1,0.0,12.6583,18.6107,3;4;5;6;7;8;9;10;11;12;,362.250000;363.558319;364.683319;365.970825;367.145844;369.087494;370.149994;371.149994;372.079163;372.691681;
,49,1,2,0,sov,sov,1,AM,1,0.0,12.7035,18.6107,3;4;5;6;7;8;9;10;11;12;,362.266663;363.608337;364.733337;366.020844;367.195831;369.120819;370.183319;371.195831;372.125000;372.737488;
,50,1,2,0,sov,sov,1,AM,1,0.0,12.7361,18.6107,3;4;5;6;7;8;9;10;11;12;,362.283325;363.608337;364.750000;366.066681;367.241669;369.154175;370.216675;371.229156;372.158325;372.770844;
,51,1,2,0,sov,sov,1,AM,1,0.0,12.7521,18.6107,3;4;5;6;7;8;9;10;11;12;,362.283325;363.733337;364.862488;366.149994;367.345825;369.174988;370.233337;371.245819;372.174988;372.787506;
,52,1,2,0,sov,sov,1,AM,1,0.0,12.9014,18.6107,3;4;5;6;7;8;9;10;11;12;,362.299988;363.750000;364.920837;366.216675;367.408325;369.325012;370.383331;371.395844;372.325012;372.937500;
,53,1,2,0,sov,sov,1,AM,1,0.0,12.9174,18.6107,3;4;5;6;7;8;9;10;11;12;,362.316681;363.941681;365.070831;366.358337;367.545837;369.341675;370.399994;371.412506;372.341675;372.954163;
,54,1,2,0,sov,sov,1,AM,1,0.0,13.0583,18.6107,3;4;5;6;7;8;9;10;11;12;,362.399994;364.191681;365.316681;366.616669;367.829163;369.433319;370.500000;371.545837;372.483337;373.095825;
,55,1,2,0,sov,sov,1,AM,1,0.0,13.0743,18.6107,3;4;5;6;7;8;9;10;11;12;,362.416656;364.225006;365.366669;366.666656;367.845825;369.450012;370.516663;371.562500;372.500000;373.112488;
,56,1,2,0,sov,sov,1,AM,1,0.0,13.0903,18.6107,3;4;5;6;7;8;9;10;11;12;,362.433319;364.291656;365.416656;366.716675;367.912506;369.450012;370.516663;371.579163;372.516663;373.129181;
,57,1,2,0,sov,sov,1,AM,1,0.0,13.1062,18.6107,3;4;5;6;7;8;9;10;11;12;,362.433319;364.291656;365.433319;366.733337;367.912506;369.466675;370.533325;371.583344;372.533325;373.145844;
,58,1,2,0,sov,sov,1,AM,1,0.0,13.1222,18.6107,3;4;5;6;7;8;9;10;11;12;,362.450012;364.341675;365.466675;366.766663;367.945831;369.466675;370.549988;371.608337;372.549988;373.162506;
,59,1,2,0,sov,sov,1,AM,1,0.0,13.1424,18.6107,3;4;5;6;7;8;9;10;11;12;,362.450012;364.375000;365.500000;366.799988;367.979156;369.483337;370.566681;371.625000;372.570831;373.183319;
,60,1,2,0,sov,sov,1,AM,1,0.0,13.2583,18.6107,3;4;5;6;7;8;9;10;11;12;,362.541656;364.600006;365.750000;367.041656;368.216675;369.566681;370.633331;371.750000;372.687500;373.299988;
,61,1,2,0,sov,sov,1,AM,1,0.0,13.2826,18.6107,3;4;5;6;7;8;9;10;11;12;,362.575012;364.625000;365.766663;367.083344;368.299988;369.579163;370.649994;371.783325;372.712494;373.325012;
,62,1,2,0,sov,sov,1,AM,1,0.0,13.3069,18.6107,3;4;5;6;7;8;9;10;11;12;,362.575012;364.641663;365.783325;367.083344;368.299988;369.583344;370.649994;371.808319;372.737488;373.350006;
,63,1,2,0,sov,sov,1,AM,1,0.0,13.3229,18.6107,3;4;5;6;7;8;9;10;11;12;,362.616669;364.649994;365.783325;367.108337;368.320831;369.600006;370.666656;371.816681;372.750000;373.362488;
,64,1,2,0,sov,sov,1,AM,1,0.0,13.3347,18.6107,3;4;5;6;7;8;9;10;11;12;,362.616669;364.666656;365.799988;367.129181;368.320831;369.600006;370.666656;371.833344;372.766663;373.379181;
,65,1,2,0,sov,sov,1,AM,1,0.0,13.3507,18.6107,3;4;5;6;7;8;9;10;11;12;,362.633331;364.683319;365.850006;367.145844;368.333344;369.616669;370.683319;371.850006;372.783325;373.395844;
,66,1,2,0,sov,sov,1,AM,1,0.0,13.4667,18.6107,3;4;5;6;7;8;9;10;11;12;,362.733337;364.783325;365.933319;367.220825;368.416656;369.750000;370.833344;371.966675;372.899994;373.512512;
,67,1,2,0,sov,sov,1,AM,1,0.0,13.4826,18.6107,3;4;5;6;7;8;9;10;11;12;,362.750000;364.799988;365.954163;367.241669;368.433319;369.766663;370.850006;371.983337;372.916656;373.529175;
,68,1,2,0,sov,sov,1,AM,1,0.0,13.4986,18.6107,3;4;5;6;7;8;9;10;11;12;,362.766663;364.799988;365.954163;367.241669;368.433319;369.766663;370.850006;372.000000;372.933319;373.545837;
,69,1,2,0,sov,sov,1,AM,1,0.0,13.5146,18.6107,3;4;5;6;7;8;9;10;11;12;,362.783325;364.816681;365.970825;367.258331;368.450012;369.783325;370.866669;372.016663;372.950012;373.562500;
,70,1,2,0,sov,sov,1,AM,1,0.0,13.5347,18.6107,3;4;5;6;7;8;9;10;11;12;,362.783325;364.833344;365.970825;367.266663;368.450012;369.799988;370.866669;372.041656;372.970825;373.583344;
,71,1,2,0,sov,sov,1,AM,1,0.0,13.5507,18.6107,3;4;5;6;7;8;9;10;11;12;,362.799988;364.833344;365.987488;367.274994;368.466675;369.799988;370.883331;372.049988;372.983337;373.595825;
,72,1,2,0,sov,sov,1,AM,1,0.0,13.6667,18.6107,3;4;5;6;7;8;9;10;11;12;,362.883331;364.899994;366.066681;367.362488;368.549988;369.883331;370.983337;372.174988;373.104156;373.716675;
,73,1,2,0,sov,sov,1,AM,1,0.0,13.6826,18.6107,3;4;5;6;7;8;9;10;11;12;,362.899994;364.916656;366.083344;367.370819;368.549988;369.899994;370.983337;372.191681;373.120819;373.733337;
,74,1,2,0,sov,sov,1,AM,1,0.0,13.6986,18.6107,3;4;5;6;7;8;9;10;11;12;,362.899994;364.916656;366.083344;367.370819;368.566681;369.899994;371.000000;372.200012;373.133331;373.745819;
,75,1,2,0,sov,sov,1,AM,1,0.0,13.7146,18.6107,3;4;5;6;7;8;9;10;11;12;,362.916656;364.937500;366.100006;367.387512;368.566681;369.916656;371.029175;372.216675;373.149994;373.762512;
,76,1,2,0,sov,sov,1,AM,1,0.0,13.7306,18.6107,3;4;5;6;7;8;9;10;11;12;,362.916656;364.937500;366.100006;367.387512;368.583344;369.916656;371.033325;372.233337;373.166656;373.779175;
,77,1,2,0,sov,sov,1,AM,1,0.0,13.7465,18.6107,3;4;5;6;7;8;9;10;11;12;,362.933319;364.950012;366.116669;367.404175;368.604156;369.933319;371.033325;372.250000;373.183319;373.795837;
,78,1,2,0,sov,sov,1,AM,1,0.0,13.8750,18.6107,3;4;5;6;7;8;9;10;11;12;,363.016663;365.016663;366.216675;367.516663;368.691681;370.049988;371.108337;372.366669;373.316681;373.929169;
,79,1,2,0,sov,sov,1,AM,1,0.0,13.8910,18.6107,3;4;5;6;7;8;9;10;11;12;,363.033325;365.016663;366.233337;367.520844;368.700012;370.066681;371.133331;372.391663;373.333344;373.945831;
,80,1,2,0,sov,sov,1,AM,1,0.0,13.9069,18.6107,3;4;5;6;7;8;9;10;11;12;,363.033325;365.033325;366.250000;367.537506;368.712494;370.100006;371.166656;372.399994;373.350006;373.962494;
,81,1,2,0,sov,sov,1,AM,1,0.0,13.9229,18.6107,3;4;5;6;7;8;9;10;11;12;,363.049988;365.049988;366.266663;367.562500;368.737488;370.100006;371.183319;372.416656;373.366669;373.979156;
,82,1,2,0,sov,sov,1,AM,1,0.0,13.9389,18.6107,3;4;5;6;7;8;9;10;11;12;,363.066681;365.049988;366.266663;367.566681;368.741669;370.133331;371.191681;372.450012;373.383331;373.995819;
,83,1,2,0,sov,sov,1,AM,1,0.0,13.9549,18.6107,3;4;5;6;7;8;9;10;11;12;,363.066681;365.066681;366.283325;367.583344;368.762512;370.166656;371.225006;372.466675;373.399994;374.012512;
,84,1,2,0,sov,sov,1,AM,1,0.0,14.0833,18.6107,3;4;5;6;7;8;9;10;11;12;,363.149994;365.149994;366.350006;367.654175;368.833344;370.266663;371.333344;372.600006;373.529175;374.141663;
,85,1,2,0,sov,sov,1,AM,1,0.0,14.0993,18.6107,3;4;5;6;7;8;9;10;11;12;,363.166656;365.166656;366.375000;367.666656;368.850006;370.283325;371.341675;372.616669;373.545837;374.158325;
,86,1,2,0,sov,sov,1,AM,1,0.0,14.1153,18.6107,3;4;5;6;7;8;9;10;11;12;,363.183319;365.183319;366.383331;367.687500;368.866669;370.299988;371.358337;372.633331;373.562500;374.174988;
,87,1,2,0,sov,sov,1,AM,1,0.0,14.1313,18.6107,3;4;5;6;7;8;9;10;11;12;,363.200012;365.200012;366.383331;367.687500;368.883331;370.299988;371.358337;372.649994;373.579163;374.191681;
,88,1,2,0,sov,sov,1,AM,1,0.0,14.1639,18.6107,3;4;5;6;7;8;9;10;11;12;,363.216675;365.216675;366.408325;367.700012;368.899994;370.316681;371.375000;372.683319;373.612488;374.225006;
,89,1,2,0,sov,sov,1,AM,1,0.0,14.1840,18.6107,3;4;5;6;7;8;9;10;11;12;,363.233337;365.233337;366.408325;367.700012;368.899994;370.333344;371.391663;372.704163;373.633331;374.245819;
,90,1,2,0,sov,sov,1,AM,1,0.0,14.3167,18.6107,3;4;5;6;7;8;9;10;11;12;,363.316681;365.299988;366.475006;367.766663;368.983337;370.466675;371.545837;372.833344;373.766663;374.379181;
,91,1,2,0,sov,sov,1,AM,1,0.0,14.3326,18.6107,3;4;5;6;7;8;9;10;11;12;,363.333344;365.316681;366.483337;367.783325;368.983337;370.683319;371.750000;372.850006;373.783325;374.395844;
,92,1,2,0,sov,sov,1,AM,1,0.0,14.3486,18.6107,3;4;5;6;7;8;9;10;11;12;,363.350006;365.333344;366.508331;367.804169;369.000000;370.683319;371.750000;372.866669;373.799988;374.412506;
,93,1,2,0,sov,sov,1,AM,1,0.0,14.3771,18.6107,3;4;5;6;7;8;9;10;11;12;,363.366669;365.333344;366.516663;367.804169;369.000000;370.716675;371.774994;372.883331;373.829163;374.441681;
,94,1,2,0,sov,sov,1,AM,1,0.0,14.3931,18.6107,3;4;5;6;7;8;9;10;11;12;,363.366669;365.350006;366.533325;367.820831;369.016663;370.716675;371.783325;372.916656;373.845825;374.458344;
,95,1,2,0,sov,sov,1,AM,1,0.0,14.4215,18.6107,3;4;5;6;7;8;9;10;11;12;,363.383331;365.366669;366.549988;367.845825;369.037506;370.750000;371.808319;372.933319;373.875000;374.487488;
,96,1,2,0,sov,sov,1,AM,1,0.0,14.6042,18.6107,3;4;5;6;7;8;9;10;11;12;,363.450012;365.450012;366.633331;367.929169;369.116669;371.049988;372.116669;373.120819;374.058319;374.670837;
,97,1,2,0,sov,sov,1,AM,1,0.0,14.6368,18.6107,3;4;5;6;7;8;9;10;11;12;,363.466675;365.450012;366.633331;367.933319;369.116669;371.049988;372.133331;373.149994;374.091675;374.704163;
,98,1,2,0,sov,sov,1,AM,1,0.0,14.6528,18.6107,3;4;5;6;7;8;9;10;11;12;,363.483337;365.466675;366.649994;367.962494;369.137512;371.066681;372.133331;373.166656;374.108337;374.720825;
,99,1,2,0,sov,sov,1,AM,1,0.0,14.6771,18.6107,3;4;5;6;7;8;9;10;11;12;,363.500000;365.483337;366.666656;367.962494;369.149994;371.066681;372.166656;373.183319;374.133331;374.745819;
,100,1,2,0,sov,sov,1,AM,1,0.0,14.6931,18.6107,3;4;5;6;7;8;9;10;11;12;,363.516663;365.483337;366.683319;367.970825;369.149994;371.083344;372.166656;373.200012;374.149994;374.762512;
,101,1,2,0,sov,sov,1,AM,1,0.0,14.7090,18.6107,3;4;5;6;7;8;9;10;11;12;,363.516663;365.500000;366.700012;367.995819;369.170837;371.100006;372.191681;373.216675;374.166656;374.779175;
,102,1,2,0,sov,sov,1,AM,1,0.0,14.8333,18.6107,3;4;5;6;7;8;9;10;11;12;,363.583344;365.600006;366.783325;368.083344;369.258331;371.241669;372.299988;373.350006;374.291656;374.904175;
,103,1,2,0,sov,sov,1,AM,1,0.0,14.8493,18.6107,3;4;5;6;7;8;9;10;11;12;,363.600006;365.616669;366.799988;368.112488;369.287506;371.262512;372.333344;373.366669;374.308319;374.920837;
,104,1,2,0,sov,sov,1,AM,1,0.0,14.8611,18.6107,3;4;5;6;7;8;9;10;11;12;,363.600006;365.633331;366.816681;368.116669;369.291656;371.299988;372.358337;373.383331;374.316681;374.929169;
,105,1,2,0,sov,sov,1,AM,1,0.0,14.9021,18.6107,3;4;5;6;7;8;9;10;11;12;,363.625000;365.633331;366.816681;368.116669;369.299988;371.358337;372.416656;373.416656;374.362488;374.975006;
,106,1,2,0,sov,sov,1,AM,1,0.0,14.9181,18.6107,3;4;5;6;7;8;9;10;11;12;,363.633331;365.649994;366.833344;368.133331;369.308319;371.358337;372.416656;373.445831;374.379181;374.991669;
,107,1,2,0,sov,sov,1,AM,1,0.0,14.9299,18.6107,3;4;5;6;7;8;9;10;11;12;,363.633331;365.666656;366.850006;368.137512;369.316681;371.391663;372.450012;373.462494;374.391663;375.004181;
