mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
68,33,,,40,1,1,34,1,1,1,,,left,,,,SBL,"LINESTRING (-112.1150732 33.6547547, -112.1149537 33.6546777)",,,
69,33,,,40,2,2,42,3,3,1,,,thru,,,,SBT,"LINESTRING (-112.1150732 33.6547547, -112.1150548 33.6546159)",,,
70,33,,,40,3,3,52,3,3,1,,,right,,,,SBR,"LINESTRING (-112.1150732 33.6547547, -112.1151272 33.6546985)",,,
71,33,,,43,3,3,34,2,2,1,,,right,,,,NBR,"LINESTRING (-112.1150319 33.6546159, -112.1149537 33.6546777)",,,
72,33,,,43,2,2,41,3,3,1,,,thru,,,,NBT,"LINESTRING (-112.1150319 33.6546159, -112.1150522 33.6547607)",,,
73,33,,,43,1,1,52,1,1,1,,,left,,,,NBL,"LINESTRING (-112.1150319 33.6546159, -112.1151272 33.6546985)",,,
74,33,,,51,3,3,41,3,3,1,,,right,,,,WBR,"LINESTRING (-112.1149547 33.6546997, -112.1150522 33.6547607)",,,
75,33,,,51,1,1,42,1,1,1,,,left,,,,WBL,"LINESTRING (-112.1149547 33.6546997, -112.1150548 33.6546159)",,,
76,33,,,51,2,2,52,3,3,1,,,thru,,,,WBT,"LINESTRING (-112.1149547 33.6546997, -112.1151272 33.6546985)",,,
77,34,,,35,1,2,33,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.0634743 33.6550434, -112.0633017 33.6550446)",,,
78,34,,,49,1,3,50,1,3,3,,,thru,,,,WBT,"LINESTRING (-112.0633017 33.6550676, -112.0634743 33.6550664)",,,
79,35,,,34,2,2,35,2,2,1,,,thru,,,,EBT,"LINESTRING (-112.0887162 33.6548693, -112.0885437 33.6548706)",,,
80,35,,,34,1,1,45,1,1,1,,,left,,,,EBL,"LINESTRING (-112.0887162 33.6548693, -112.0886793 33.6549446)",,,
81,35,,,34,2,2,46,3,3,1,,,right,,,,EBR,"LINESTRING (-112.0887162 33.6548693, -112.0887048 33.6548475)",,,
82,35,,,44,1,1,35,1,1,1,,,left,,,,SBL,"LINESTRING (-112.0886934 33.6549276, -112.0885437 33.6548706)",,,
83,35,,,44,2,2,46,3,3,1,,,right,,,,SBR,"LINESTRING (-112.0886934 33.6549276, -112.0887048 33.6548475)",,,
84,35,,,44,3,3,51,3,3,1,,,right,,,,SBR,"LINESTRING (-112.0886934 33.6549276, -112.0887162 33.6548923)",,,
85,35,,,47,3,3,35,2,2,1,,,thru,,,,EBT,"LINESTRING (-112.0886929 33.6548285, -112.0885437 33.6548706)",,,
86,35,,,47,2,2,45,3,3,1,,,left,,,,EBL,"LINESTRING (-112.0886929 33.6548285, -112.0886793 33.6549446)",,,
87,35,,,47,1,1,51,1,1,1,,,uturn,,,,EBU,"LINESTRING (-112.0886929 33.6548285, -112.0887162 33.6548923)",,,
88,35,,,50,3,3,45,3,3,1,,,right,,,,WBR,"LINESTRING (-112.0885437 33.6548936, -112.0886793 33.6549446)",,,
89,35,,,50,1,1,46,1,1,1,,,thru,,,,WBT,"LINESTRING (-112.0885437 33.6548936, -112.0887048 33.6548475)",,,
90,35,,,50,2,2,51,3,3,1,,,thru,,,,WBT,"LINESTRING (-112.0885437 33.6548936, -112.0887162 33.6548923)",,,
91,36,,,48,1,2,36,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.1689539 33.6606953, -112.1688266 33.6605985)",,,
92,38,,,41,1,1,57,1,1,1,,,thru,,,,NBT,"LINESTRING (-112.1174908 33.6624023, -112.1175462 33.6625406)",,,
93,38,,,56,1,1,40,1,1,1,,,thru,,,,SBT,"LINESTRING (-112.1175671 33.6625297, -112.1175117 33.6623953)",,,
94,39,,,42,1,1,58,1,1,1,,,thru,,,,SBT,"LINESTRING (-112.1153631 33.6469051, -112.1153850 33.6467658)",,,
95,39,,,59,1,1,43,1,1,1,,,thru,,,,NBT,"LINESTRING (-112.1153640 33.6467598, -112.1153401 33.6469051)",,,
96,44,,,64,1,1,66,1,1,1,,,thru,,,,EBT,"LINESTRING (-112.0058133 33.6687406, -112.0056407 33.6687387)",,,
97,44,,,64,1,1,76,1,1,1,,,right,,,,EBR,"LINESTRING (-112.0058133 33.6687406, -112.0057213 33.6686792)",,,
98,44,,,67,1,1,65,1,1,1,,,thru,,,,WBT,"LINESTRING (-112.0056408 33.6687617, -112.0058133 33.6687636)",,,
99,44,,,67,1,1,76,1,1,1,,,left,,,,WBL,"LINESTRING (-112.0056408 33.6687617, -112.0057213 33.6686792)",,,
100,44,,,77,1,1,65,1,1,1,,,left,,,,NBL,"LINESTRING (-112.0057004 33.6686832, -112.0058133 33.6687636)",,,
101,44,,,77,1,1,66,1,1,1,,,right,,,,NBR,"LINESTRING (-112.0057004 33.6686832, -112.0056407 33.6687387)",,,
102,45,,,66,1,1,68,1,1,1,,,thru,,,,EBT,"LINESTRING (-111.9638163 33.6676143, -111.9636472 33.6675986)",,,
103,45,,,69,1,1,67,1,1,1,,,thru,,,,WBT,"LINESTRING (-111.9636432 33.6676216, -111.9638162 33.6676373)",,,
104,47,,,70,1,1,72,1,1,1,,,thru,,,,EBT,"LINESTRING (-112.0025563 33.6548853, -112.0023838 33.6548812)",,,
105,47,,,70,1,1,77,1,1,1,,,left,,,,EBL,"LINESTRING (-112.0025563 33.6548853, -112.0024766 33.6549678)",,,
106,47,,,70,1,1,78,1,1,1,,,right,,,,EBR,"LINESTRING (-112.0025563 33.6548853, -112.0024780 33.6548229)",,,
