mvmt_id,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,mvmt_txt_id,geometry,node_id,osm_node_id,name,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,volume,free_speed,allowed_uses,,
16,57,1,1,6,3,3,1,NBR,"LINESTRING (-112.120273 33.668000, -112.120220 33.668068)",7,,,,,right,,,,,,,,
17,57,1,1,60,1,1,1,NBT,"LINESTRING (-112.120273 33.668000, -112.120291 33.668138)",7,,,,,thru,,,,,,,,
18,61,1,1,6,1,1,1,SBL,"LINESTRING (-112.120291 33.668138, -112.120220 33.668068)",7,,,,,left,,,,,,,,
19,61,1,1,56,1,1,1,SBT,"LINESTRING (-112.120291 33.668138, -112.120273 33.668000)",7,,,,,thru,,,,,,,,
20,6,1,3,7,1,3,3,EBT,"LINESTRING (-112.098179 33.668219, -112.098007 33.668221)",8,,,,,thru,,,,,,,,
21,7,2,3,10,1,2,2,EBT,"LINESTRING (-112.079803 33.668346, -112.079631 33.668348)",9,,,,,thru,,,,,,,,
22,10,1,2,8,1,2,2,EBT,"LINESTRING (-112.062437 33.668465, -112.062265 33.668467)",10,,,,,thru,,,,,,,,
23,8,2,2,9,3,3,1,EBR,"LINESTRING (-112.046282 33.668577, -112.046135 33.668527)",11,,,,,right,,,,,,,,
24,8,1,1,64,1,1,1,EBT,"LINESTRING (-112.046282 33.668577, -112.046110 33.668577)",11,,,,,thru,,,,,,,,
25,65,1,1,9,1,1,1,WBL,"LINESTRING (-112.046110 33.668578, -112.046135 33.668527)",11,,,,,left,,,,,,,,
26,9,1,3,28,1,3,3,EBT,"LINESTRING (-112.038703 33.662351, -112.038580 33.662250)",12,,,,,thru,,,,,,,,
27,11,1,3,12,1,3,3,SBT,"LINESTRING (-112.211386 33.648508, -112.211279 33.648395)",14,,,,,thru,,,,,,,,
28,12,1,3,13,1,3,3,SBT,"LINESTRING (-112.207089 33.644069, -112.206980 33.643958)",15,,,,,thru,,,,,,,,
29,13,1,3,14,1,3,3,SBL,"LINESTRING (-112.202384 33.639353, -112.202243 33.639299)",16,,,,,left,,,,,,,,
30,14,1,3,15,1,3,3,EBT,"LINESTRING (-112.190904 33.639377, -112.190732 33.639379)",17,,,,,thru,,,,,,,,
31,15,1,3,16,1,3,3,EBT,"LINESTRING (-112.180000 33.639452, -112.179828 33.639454)",18,,,,,thru,,,,,,,,
32,16,1,3,17,1,3,3,EBT,"LINESTRING (-112.168288 33.639533, -112.168116 33.639535)",19,,,,,thru,,,,,,,,
33,17,1,3,18,1,3,3,EBT,"LINESTRING (-112.155364 33.639622, -112.155192 33.639624)",20,,,,,thru,,,,,,,,
34,18,1,3,19,1,3,3,EBT,"LINESTRING (-112.143248 33.639705, -112.143076 33.639707)",21,,,,,thru,,,,,,,,
35,19,1,3,20,1,3,3,EBT,"LINESTRING (-112.128910 33.639804, -112.128738 33.639806)",22,,,,,thru,,,,,,,,
36,20,2,2,21,3,3,1,EBT,"LINESTRING (-112.117426 33.639870, -112.117254 33.639871)",23,,,,,thru,,,,,,,,
37,20,1,1,59,1,1,1,EBL,"LINESTRING (-112.117426 33.639870, -112.117320 33.639940)",23,,,,,left,,,,,,,,
38,20,3,3,62,1,1,1,EBR,"LINESTRING (-112.117426 33.639870, -112.117334 33.639798)",23,,,,,right,,,,,,,,
39,58,1,1,21,1,1,1,SBL,"LINESTRING (-112.117320 33.639940, -112.117254 33.639871)",23,,,,,left,,,,,,,,
40,58,1,1,62,1,1,1,SBT,"LINESTRING (-112.117320 33.639940, -112.117334 33.639798)",23,,,,,thru,,,,,,,,
41,63,1,1,21,3,3,1,NBR,"LINESTRING (-112.117334 33.639798, -112.117254 33.639871)",23,,,,,right,,,,,,,,
42,63,1,1,59,1,1,1,NBT,"LINESTRING (-112.117334 33.639798, -112.117320 33.639940)",23,,,,,thru,,,,,,,,
43,21,1,3,22,1,3,3,EBT,"LINESTRING (-112.102659 33.639985, -112.102487 33.639987)",24,,,,,thru,,,,,,,,
44,22,1,3,23,1,3,3,EBT,"LINESTRING (-112.087716 33.640088, -112.087544 33.640090)",25,,,,,thru,,,,,,,,
45,23,1,3,24,1,3,3,EBT,"LINESTRING (-112.072571 33.640192, -112.072399 33.640194)",26,,,,,thru,,,,,,,,
46,24,1,3,25,1,3,3,EBT,"LINESTRING (-112.060051 33.640278, -112.059879 33.640280)",27,,,,,thru,,,,,,,,
47,25,1,3,26,1,3,3,EBT,"LINESTRING (-112.046521 33.640371, -112.046373 33.640422)",28,,,,,thru,,,,,,,,
48,26,1,3,27,1,3,3,EBT,"LINESTRING (-112.038904 33.646518, -112.038786 33.646623)",29,,,,,thru,,,,,,,,
49,29,1,2,30,1,2,2,EBT,"LINESTRING (-112.188673 33.654192, -112.188501 33.654194)",30,,,,,thru,,,,,,,,
50,54,1,3,55,1,3,3,WBT,"LINESTRING (-112.188502 33.654194, -112.188674 33.654192)",30,,,,,thru,,,,,,,,
51,30,2,2,31,2,2,1,EBT,"LINESTRING (-112.161614 33.654378, -112.161442 33.654380)",31,,,,,thru,,,,,,,,
52,30,1,1,37,1,1,1,EBL,"LINESTRING (-112.161614 33.654378, -112.161588 33.654432)",31,,,,,left,,,,,,,,
53,30,2,2,38,3,3,1,EBR,"LINESTRING (-112.161614 33.654378, -112.161588 33.654328)",31,,,,,right,,,,,,,,
54,36,1,1,31,1,1,1,SBL,"LINESTRING (-112.161588 33.654431, -112.161442 33.654380)",31,,,,,left,,,,,,,,
55,36,2,2,38,3,3,1,SBR,"LINESTRING (-112.161588 33.654431, -112.161588 33.654328)",31,,,,,right,,,,,,,,
56,36,3,3,54,3,3,1,SBR,"LINESTRING (-112.161588 33.654431, -112.161614 33.654379)",31,,,,,right,,,,,,,,
57,39,3,3,31,2,2,1,NBR,"LINESTRING (-112.161588 33.654327, -112.161442 33.654380)",31,,,,,right,,,,,,,,
58,39,2,2,37,3,3,1,NBL,"LINESTRING (-112.161588 33.654327, -112.161588 33.654432)",31,,,,,left,,,,,,,,
59,39,1,1,54,1,1,1,NBL,"LINESTRING (-112.161588 33.654327, -112.161614 33.654379)",31,,,,,left,,,,,,,,
60,53,3,3,37,3,3,1,WBR,"LINESTRING (-112.161442 33.654381, -112.161588 33.654432)",31,,,,,right,,,,,,,,
61,53,1,1,38,1,1,1,WBL,"LINESTRING (-112.161442 33.654381, -112.161588 33.654328)",31,,,,,left,,,,,,,,
62,53,2,2,54,3,3,1,WBT,"LINESTRING (-112.161442 33.654381, -112.161614 33.654379)",31,,,,,thru,,,,,,,,
63,31,1,2,32,1,2,2,EBT,"LINESTRING (-112.136574 33.654551, -112.136402 33.654553)",32,,,,,thru,,,,,,,,
64,52,1,3,53,1,3,3,WBT,"LINESTRING (-112.136402 33.654553, -112.136574 33.654551)",32,,,,,thru,,,,,,,,
65,32,2,2,34,2,2,1,EBT,"LINESTRING (-112.115126 33.654688, -112.114954 33.654689)",33,,,,,thru,,,,,,,,
66,32,1,1,41,1,1,1,EBL,"LINESTRING (-112.115126 33.654688, -112.115062 33.654758)",33,,,,,left,,,,,,,,
67,32,2,2,42,3,3,1,EBR,"LINESTRING (-112.115126 33.654688, -112.115044 33.654616)",33,,,,,right,,,,,,,,
68,40,1,1,34,1,1,1,SBL,"LINESTRING (-112.115063 33.654758, -112.114954 33.654689)",33,,,,,left,,,,,,,,
69,40,2,2,42,3,3,1,SBT,"LINESTRING (-112.115063 33.654758, -112.115044 33.654616)",33,,,,,thru,,,,,,,,
70,40,3,3,52,3,3,1,SBR,"LINESTRING (-112.115063 33.654758, -112.115127 33.654688)",33,,,,,right,,,,,,,,
71,43,3,3,34,2,2,1,NBR,"LINESTRING (-112.115043 33.654616, -112.114954 33.654689)",33,,,,,right,,,,,,,,
72,43,2,2,41,3,3,1,NBT,"LINESTRING (-112.115043 33.654616, -112.115062 33.654758)",33,,,,,thru,,,,,,,,
73,43,1,1,52,1,1,1,NBL,"LINESTRING (-112.115043 33.654616, -112.115127 33.654688)",33,,,,,left,,,,,,,,
74,51,3,3,41,3,3,1,WBR,"LINESTRING (-112.114955 33.654689, -112.115062 33.654758)",33,,,,,right,,,,,,,,
75,51,1,1,42,1,1,1,WBL,"LINESTRING (-112.114955 33.654689, -112.115044 33.654616)",33,,,,,left,,,,,,,,
76,51,2,2,52,3,3,1,WBT,"LINESTRING (-112.114955 33.654689, -112.115127 33.654688)",33,,,,,thru,,,,,,,,
77,35,1,2,33,1,2,2,EBT,"LINESTRING (-112.063474 33.655054, -112.063302 33.655056)",34,,,,,thru,,,,,,,,
78,49,1,3,50,1,3,3,WBT,"LINESTRING (-112.063302 33.655057, -112.063474 33.655055)",34,,,,,thru,,,,,,,,
79,34,2,2,35,2,2,1,EBT,"LINESTRING (-112.088716 33.654880, -112.088544 33.654882)",35,,,,,thru,,,,,,,,
80,34,1,1,45,1,1,1,EBL,"LINESTRING (-112.088716 33.654880, -112.088686 33.654937)",35,,,,,left,,,,,,,,
81,34,2,2,46,3,3,1,EBR,"LINESTRING (-112.088716 33.654880, -112.088699 33.654838)",35,,,,,right,,,,,,,,
82,44,1,1,35,1,1,1,SBL,"LINESTRING (-112.088686 33.654936, -112.088544 33.654882)",35,,,,,left,,,,,,,,
83,44,2,2,46,3,3,1,SBR,"LINESTRING (-112.088686 33.654936, -112.088699 33.654838)",35,,,,,right,,,,,,,,
84,44,3,3,51,3,3,1,SBR,"LINESTRING (-112.088686 33.654936, -112.088716 33.654881)",35,,,,,right,,,,,,,,
85,47,3,3,35,2,2,1,EBT,"LINESTRING (-112.088699 33.654837, -112.088544 33.654882)",35,,,,,thru,,,,,,,,
86,47,2,2,45,3,3,1,EBL,"LINESTRING (-112.088699 33.654837, -112.088686 33.654937)",35,,,,,left,,,,,,,,
87,47,1,1,51,1,1,1,EBU,"LINESTRING (-112.088699 33.654837, -112.088716 33.654881)",35,,,,,uturn,,,,,,,,
88,50,3,3,45,3,3,1,WBR,"LINESTRING (-112.088544 33.654883, -112.088686 33.654937)",35,,,,,right,,,,,,,,
89,50,1,1,46,1,1,1,WBT,"LINESTRING (-112.088544 33.654883, -112.088699 33.654838)",35,,,,,thru,,,,,,,,
90,50,2,2,51,3,3,1,WBT,"LINESTRING (-112.088544 33.654883, -112.088716 33.654881)",35,,,,,thru,,,,,,,,
91,48,1,2,36,1,2,2,EBT,"LINESTRING (-112.168954 33.660695, -112.168820 33.660606)",36,,,,,thru,,,,,,,,
92,41,1,1,57,1,1,1,NBT,"LINESTRING (-112.117501 33.662399, -112.117556 33.662536)",38,,,,,thru,,,,,,,,
93,56,1,1,40,1,1,1,SBT,"LINESTRING (-112.117557 33.662535, -112.117502 33.662398)",38,,,,,thru,,,,,,,,
94,42,1,1,58,1,1,1,SBT,"LINESTRING (-112.115352 33.646905, -112.115375 33.646763)",39,,,,,thru,,,,,,,,
95,59,1,1,43,1,1,1,NBT,"LINESTRING (-112.115374 33.646763, -112.115351 33.646905)",39,,,,,thru,,,,,,,,
96,64,1,1,66,1,1,1,EBT,"LINESTRING (-112.005813 33.668752, -112.005641 33.668750)",44,,,,,thru,,,,,,,,
97,64,1,1,76,1,1,1,EBR,"LINESTRING (-112.005813 33.668752, -112.005711 33.668681)",44,,,,,right,,,,,,,,
98,67,1,1,65,1,1,1,WBT,"LINESTRING (-112.005641 33.668751, -112.005813 33.668753)",44,,,,,thru,,,,,,,,
99,67,1,1,76,1,1,1,WBL,"LINESTRING (-112.005641 33.668751, -112.005711 33.668681)",44,,,,,left,,,,,,,,
100,77,1,1,65,1,1,1,NBL,"LINESTRING (-112.005710 33.668681, -112.005813 33.668753)",44,,,,,left,,,,,,,,
101,77,1,1,66,1,1,1,NBR,"LINESTRING (-112.005710 33.668681, -112.005641 33.668750)",44,,,,,right,,,,,,,,
102,66,1,1,68,1,1,1,EBT,"LINESTRING (-111.963816 33.667625, -111.963645 33.667610)",45,,,,,thru,,,,,,,,
103,69,1,1,67,1,1,1,WBT,"LINESTRING (-111.963645 33.667611, -111.963816 33.667626)",45,,,,,thru,,,,,,,,
104,70,1,1,72,1,1,1,EBT,"LINESTRING (-112.002556 33.654896, -112.002384 33.654892)",47,,,,,thru,,,,,,,,
105,70,1,1,77,1,1,1,EBL,"LINESTRING (-112.002556 33.654896, -112.002487 33.654966)",47,,,,,left,,,,,,,,
106,70,1,1,78,1,1,1,EBR,"LINESTRING (-112.002556 33.654896, -112.002467 33.654823)",47,,,,,right,,,,,,,,
107,73,1,1,71,1,1,1,WBT,"LINESTRING (-112.002384 33.654893, -112.002556 33.654897)",47,,,,,thru,,,,,,,,
108,73,1,1,77,1,1,1,WBR,"LINESTRING (-112.002384 33.654893, -112.002487 33.654966)",47,,,,,right,,,,,,,,
109,73,1,1,78,1,1,1,WBL,"LINESTRING (-112.002384 33.654893, -112.002467 33.654823)",47,,,,,left,,,,,,,,
110,76,1,1,71,1,1,1,SBR,"LINESTRING (-112.002487 33.654966, -112.002556 33.654897)",47,,,,,right,,,,,,,,
111,76,1,1,72,1,1,1,SBL,"LINESTRING (-112.002487 33.654966, -112.002384 33.654892)",47,,,,,left,,,,,,,,
112,76,1,1,78,1,1,1,SBT,"LINESTRING (-112.002487 33.654966, -112.002467 33.654823)",47,,,,,thru,,,,,,,,
113,79,1,1,71,1,1,1,NBL,"LINESTRING (-112.002467 33.654823, -112.002556 33.654897)",47,,,,,left,,,,,,,,
114,79,1,1,72,1,1,1,NBR,"LINESTRING (-112.002467 33.654823, -112.002384 33.654892)",47,,,,,right,,,,,,,,
115,79,1,1,77,1,1,1,NBT,"LINESTRING (-112.002467 33.654823, -112.002487 33.654966)",47,,,,,thru,,,,,,,,
116,72,1,1,74,1,1,1,EBT,"LINESTRING (-111.964294 33.653642, -111.964121 33.653640)",48,,,,,thru,,,,,,,,
117,75,1,1,73,1,1,1,WBT,"LINESTRING (-111.964122 33.653641, -111.964293 33.653643)",48,,,,,thru,,,,,,,,
