link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,avg_waiting_time_in_min,congestion_duration_in_h,geometry,TT_0,notes
24,26,27,,,0600_1000,200.000,0.722,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.0724850 33.6401930, -112.0599650 33.6402790)",0.72,period-based
25,27,28,,,0600_1000,200.000,0.780,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.0599650 33.6402790, -112.0464350 33.6403720)",0.78,period-based
26,28,29,,,0600_1000,200.000,0.611,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.0464350 33.6403720, -112.0388420 33.6465680)",0.61,period-based
27,29,2,,,0600_1000,200.000,0.793,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.0388420 33.6465680, -112.0298670 33.6552860)",0.79,period-based
28,12,2,,,0600_1000,28802.000,0.804,52.172,0.870,1.0,1800.000,0.000,0.000,1.000,"LINESTRING (-112.0386420 33.6623000, -112.0298670 33.6552860)",0.70,period-based
29,1,30,,,0600_1000,0.000,3.207,30.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.2164130 33.6539160, -112.1885870 33.6541820)",3.21,period-based
30,30,31,,,0600_1000,0.000,3.119,30.000,1.000,0.0,900.000,0.000,0.000,0.000,"LINESTRING (-112.1885870 33.6541820, -112.1615280 33.6543680)",3.12,period-based
31,31,32,,,0600_1000,0.000,2.886,30.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1615280 33.6543680, -112.1364880 33.6545410)",2.89,period-based
32,32,33,,,0600_1000,0.000,2.472,30.000,1.000,0.0,900.000,0.000,0.000,0.000,"LINESTRING (-112.1364880 33.6545410, -112.1150400 33.6546770)",2.47,period-based
33,34,2,,,0600_1000,0.000,5.795,20.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.0633880 33.6550440, -112.0298670 33.6552750)",5.80,period-based
34,33,35,,,0600_1000,0.000,3.044,30.000,1.000,0.0,900.000,0.000,0.000,0.000,"LINESTRING (-112.1150400 33.6546770, -112.0886300 33.6548700)",3.04,period-based
35,35,34,,,0600_1000,0.000,8.728,10.000,1.000,0.0,900.000,0.000,0.000,0.000,"LINESTRING (-112.0886300 33.6548700, -112.0633880 33.6550440)",8.73,period-based
36,36,31,,,0600_1000,2.000,1.211,30.000,1.000,0.0,1000.000,0.000,0.000,0.000,"LINESTRING (-112.1688870 33.6606500, -112.1615350 33.6543710)",1.21,period-based
37,31,36,,,0600_1000,0.000,0.559,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1615210 33.6543880, -112.1688730 33.6606660)",0.56,period-based
38,31,37,,,0600_1000,0.000,0.553,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1615350 33.6543880, -112.1687240 33.6481020)",0.55,period-based
39,37,31,,,0600_1000,0.000,0.553,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1687100 33.6480850, -112.1615210 33.6543710)",0.55,period-based
40,38,33,,,0600_1000,202.000,0.512,65.000,1.000,0.0,1900.000,0.000,0.000,0.002,"LINESTRING (-112.1175340 33.6624650, -112.1150510 33.6546850)",0.51,period-based
41,33,38,,,0600_1000,0.000,0.512,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1150300 33.6546910, -112.1175130 33.6624720)",0.51,period-based
42,33,39,,,0600_1000,202.000,0.500,65.000,1.000,0.0,1900.000,0.000,0.000,0.002,"LINESTRING (-112.1150520 33.6546880, -112.1153660 33.6468330)",0.50,period-based
43,39,33,,,0600_1000,0.000,0.500,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1153430 33.6468330, -112.1150290 33.6546880)",0.50,period-based
44,40,35,,,0600_1000,0.000,0.466,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0943640 33.6604190, -112.0886370 33.6548730)",0.47,period-based
45,35,40,,,0600_1000,0.000,0.466,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0886230 33.6548900, -112.0943490 33.6604350)",0.47,period-based
46,35,41,,,0600_1000,0.000,0.735,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0886360 33.6548910, -112.0996530 33.6479270)",0.73,period-based
47,41,35,,,0600_1000,0.000,0.735,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0996410 33.6479090, -112.0886240 33.6548720)",0.73,period-based
48,4,36,,,0600_1000,2.000,1.861,30.000,1.000,0.0,700.000,0.000,0.000,0.000,"LINESTRING (-112.1827040 33.6676370, -112.1688800 33.6606580)",1.86,period-based
49,2,34,,,0600_1000,0.000,1.783,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0298670 33.6552980, -112.0633880 33.6550670)",1.78,period-based
50,34,35,,,0600_1000,0.000,1.343,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0633880 33.6550670, -112.0886300 33.6548930)",1.34,period-based
51,35,33,,,0600_1000,0.000,1.405,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0886300 33.6548930, -112.1150410 33.6546990)",1.40,period-based
52,33,32,,,0600_1000,0.000,1.141,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1150410 33.6546990, -112.1364880 33.6545630)",1.14,period-based
53,32,31,,,0600_1000,0.000,1.332,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1364880 33.6545630, -112.1615280 33.6543910)",1.33,period-based
54,31,30,,,0600_1000,2.000,1.439,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1615280 33.6543910, -112.1885880 33.6542040)",1.44,period-based
55,30,1,,,0600_1000,2.000,1.480,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1885880 33.6542040, -112.2164130 33.6539380)",1.48,period-based
56,7,38,,,0600_1000,202.000,0.386,65.000,1.000,0.0,1900.000,0.000,0.000,0.010,"LINESTRING (-112.1203160 33.6680620, -112.1175340 33.6624630)",0.39,period-based
57,38,7,,,0600_1000,0.000,0.386,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1175130 33.6624740, -112.1202960 33.6680720)",0.39,period-based
58,39,23,,,0600_1000,202.000,0.455,65.000,1.000,0.0,1900.000,0.000,0.000,0.010,"LINESTRING (-112.1153650 33.6468360, -112.1173500 33.6398730)",0.46,period-based
59,23,39,,,0600_1000,0.000,0.455,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.1173300 33.6398670, -112.1153440 33.6468300)",0.46,period-based
60,7,42,,,0600_1000,202.000,0.216,65.000,1.000,0.0,1900.000,0.000,0.000,0.010,"LINESTRING (-112.1202950 33.6680650, -112.1196100 33.6714100)",0.22,period-based
61,42,7,,,0600_1000,200.000,0.216,65.000,1.000,0.0,1900.000,0.000,0.000,0.010,"LINESTRING (-112.1196330 33.6714140, -112.1203170 33.6680690)",0.22,period-based
62,23,43,,,0600_1000,202.000,0.319,65.000,1.000,0.0,1900.000,0.000,0.000,0.010,"LINESTRING (-112.1173510 33.6398690, -112.1169600 33.6348570)",0.32,period-based
63,43,23,,,0600_1000,200.000,0.319,65.000,1.000,0.0,1900.000,0.000,0.000,0.010,"LINESTRING (-112.1169370 33.6348590, -112.1173290 33.6398710)",0.32,period-based
64,11,44,,,0600_1000,0.000,2.152,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0461960 33.6685660, -112.0057270 33.6687410)",2.15,period-based
65,44,11,,,0600_1000,0.000,2.152,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0057270 33.6687640, -112.0461960 33.6685890)",2.15,period-based
66,44,45,,,0600_1000,0.000,2.235,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0057270 33.6687410, -111.9637300 33.6676120)",2.23,period-based
67,45,44,,,0600_1000,0.000,2.235,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-111.9637300 33.6676350, -112.0057270 33.6687640)",2.23,period-based
68,45,46,,,0600_1000,0.000,1.669,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-111.9637320 33.6676120, -111.9328960 33.6627590)",1.67,period-based
69,46,45,,,0600_1000,0.000,1.669,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-111.9328920 33.6627820, -111.9637280 33.6676350)",1.67,period-based
70,2,47,,,0600_1000,0.000,1.458,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0298670 33.6552750, -112.0024700 33.6548840)",1.46,period-based
71,47,2,,,0600_1000,0.000,1.458,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0024700 33.6549070, -112.0298670 33.6552980)",1.46,period-based
72,47,48,,,0600_1000,0.000,2.037,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0024700 33.6548840, -111.9642080 33.6536280)",2.04,period-based
73,48,47,,,0600_1000,0.000,2.037,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-111.9642070 33.6536510, -112.0024700 33.6549070)",2.04,period-based
74,48,49,,,0600_1000,0.000,1.836,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-111.9642070 33.6536280, -111.9297020 33.6539670)",1.84,period-based
75,49,48,,,0600_1000,0.000,1.836,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-111.9297020 33.6539900, -111.9642080 33.6536510)",1.84,period-based
76,44,47,,,0600_1000,0.000,0.898,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0057380 33.6687500, -112.0024800 33.6548930)",0.90,period-based
77,47,44,,,0600_1000,0.000,0.898,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0024600 33.6548970, -112.0057170 33.6687540)",0.90,period-based
78,47,50,,,0600_1000,0.000,0.999,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0024810 33.6548950, -112.0018380 33.6391970)",1.00,period-based
79,50,47,,,0600_1000,0.000,0.999,65.000,1.000,0.0,1900.000,0.000,0.000,0.000,"LINESTRING (-112.0018150 33.6391970, -112.0024590 33.6548950)",1.00,period-based
