link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed
59,19,20,0130:00_0131:00,0,11,11,0.0,0,4.0,0,60.0
60,20,18,0130:00_0131:00,0,35,35,0.0,0,4.0,0,60.0
61,20,19,0130:00_0131:00,0,10,10,0.0,0,4.0,0,60.0
62,20,21,0130:00_0131:00,0,24,24,0.0,0,6.0,0,60.0
63,20,22,0130:00_0131:00,0,12,12,0.0,0,5.0,0,60.0
64,21,20,0130:00_0131:00,0,24,24,0.0,0,6.0,0,60.0
65,21,22,0130:00_0131:00,0,12,12,0.0,0,2.0,0,60.0
66,21,24,0130:00_0131:00,0,31,31,0.0,0,3.0,0,60.0
67,22,15,0130:00_0131:00,0,15,15,0.0,0,4.0,0,60.0
68,22,20,0130:00_0131:00,0,12,12,0.0,0,5.0,0,60.0
69,22,21,0130:00_0131:00,0,12,12,0.0,0,2.0,0,60.0
70,22,23,0130:00_0131:00,0,12,12,0.0,0,4.0,0,60.0
71,23,14,0130:00_0131:00,0,17,17,0.0,0,4.0,0,60.0
72,23,22,0130:00_0131:00,0,12,12,0.0,0,4.0,0,60.0
73,23,24,0130:00_0131:00,0,14,14,0.0,0,2.0,0,60.0
74,24,13,0130:00_0131:00,0,30,30,0.0,0,4.0,0,60.0
75,24,21,0130:00_0131:00,0,31,31,0.0,0,3.0,0,60.0
76,24,23,0130:00_0131:00,0,14,14,0.0,0,2.0,0,60.0
