node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,activity_type,is_boundary,main_node_id
313,,-112.06935,33.46245,,,signal,,motorway,1,
314,,-112.09841,33.42932,,,,,motorway,1,
318,,-112.03888,33.44836,,,,,motorway,1,
319,,-112.03806,33.44889,,,,,motorway,0,
320,,-112.07004,33.46205,,,,,motorway,0,
321,,-112.06922,33.46201,,,,,motorway,0,
322,,-112.03893,33.44717,,,,,motorway,1,
323,,-112.03817,33.44134,,,,,motorway,0,
324,,-112.03668,33.44582,,,,,motorway,0,
325,,-112.03779,33.44047,,,,,motorway,0,
326,,-112.03812,33.44678,,,,,motorway,0,
327,,-112.03655,33.44865,,,,,motorway,0,
328,,-112.03652,33.44625,,,,,motorway,0,
329,,-112.03731,33.46573,,,,,motorway,1,
332,,-112.03883,33.4659,,,,,motorway,1,
333,,-112.03731,33.46591,,,,,motorway,1,
336,,-112.03795,33.46806,,,signal,,motorway,0,
337,,-112.02855,33.46216,,,,,motorway,0,
338,,-112.03018,33.46278,,,,,motorway,1,
339,,-112.09085,33.46147,,,,,motorway,0,
340,,-112.06434,33.42853,,,,,motorway,1,
341,,-112.03611,33.44835,,,,,motorway,1,
342,,-112.03733,33.43174,,,,,motorway,0,
343,,-112.03779,33.46573,,,signal,,motorway,1,
344,,-112.0384,33.46574,,,,,motorway,1,
349,,-112.03782,33.4659,,,,,motorway,1,
351,,-112.03933,33.48256,,,,,motorway,0,
352,,-112.03925,33.48286,,,,,motorway,0,
353,,-112.03904,33.48298,,,,,motorway,0,
354,,-112.03816,33.44166,,,,,motorway,0,
355,,-112.06503,33.46394,,,,,motorway,1,
356,,-112.06523,33.46393,,,,,motorway,1,
357,,-112.03836,33.43638,,,,,motorway,0,
358,,-112.0384,33.43665,,,,,motorway,0,
359,,-112.03893,33.43667,,,,,motorway,0,
361,,-112.03836,33.43672,,,signal,,motorway,0,
362,,-112.03965,33.43672,,,,,motorway,1,
363,,-112.03957,33.48251,,,,,motorway,0,
364,,-112.03612,33.44721,,,,,motorway,1,
365,,-112.08256,33.46066,,,signal,,motorway,1,
366,,-112.02608,33.43747,,,,,motorway,0,
367,,-112.02379,33.43778,,,,,motorway,0,
368,,-112.03875,33.47614,,,signal,,motorway,0,
369,,-112.08254,33.45979,,,,,motorway,1,
370,,-112.08258,33.46211,,,,,motorway,1,
371,,-112.0826,33.461,,,signal,,motorway,0,
372,,-112.08271,33.46102,,,signal,,motorway,0,
373,,-112.08266,33.46112,,,,,motorway,0,
374,,-112.06311,33.46258,,,,,motorway,0,
375,,-112.03033,33.46134,,,,,motorway,1,
376,,-112.03023,33.46211,,,,,motorway,0,
377,,-112.03026,33.46209,,,,,motorway,0,
378,,-112.03033,33.46197,,,,,motorway,1,
379,,-112.03033,33.46227,,,,,motorway,1,
380,,-112.03028,33.46212,,,,,motorway,0,
381,,-112.03018,33.46198,,,,,motorway,1,
382,,-112.03025,33.46214,,,,,motorway,0,
383,,-112.03018,33.46227,,,,,motorway,1,
384,,-112.06511,33.46073,,,,,motorway,1,
385,,-112.0653,33.46097,,,,,motorway,1,
386,,-112.06528,33.46188,,,,,motorway,1,
387,,-112.06508,33.46188,,,signal,,motorway,1,
388,,-112.06527,33.46259,,,signal,,motorway,1,
389,,-112.06507,33.46259,,,,,motorway,1,
392,,-112.03841,33.46459,,,,,motorway,0,
393,,-112.03843,33.46459,,,,,motorway,0,
394,,-112.1001,33.46123,,,signal,,motorway,1,
395,,-112.03656,33.44467,,,,,motorway,0,
396,,-112.03661,33.44381,,,,,motorway,0,
397,,-112.03369,33.44003,,,,,motorway,1,
398,,-112.04765,33.46262,,,,,motorway,1,
399,,-112.04762,33.46158,,,,,motorway,1,
400,,-112.06498,33.46326,,,,,motorway,0,
401,,-112.06507,33.46228,,,,,motorway,0,
402,,-112.06508,33.4621,,,,,motorway,0,
403,,-112.06516,33.46219,,,signal,,motorway,0,
404,,-112.06519,33.46224,,,,,motorway,0,
405,,-112.06528,33.46233,,,,,motorway,0,
406,,-112.06528,33.46214,,,,,motorway,0,
407,,-112.06522,33.46221,,,signal,,motorway,0,
408,,-112.06519,33.46214,,,,,motorway,0,
409,,-112.08285,33.46225,,,,,motorway,0,
