agent_id,agent_type,o_node_id,d_node_id,departure_time_in_min,PCE,path_fixed_flag,path_node_sequence
181,v,8,13,1,1,0,
182,v,8,14,1,1,0,
183,v,8,15,1,1,0,
184,v,8,16,1,1,0,
185,v,8,17,1,1,0,
186,v,8,18,1,1,0,
187,v,8,19,1,1,0,
188,v,8,20,1,1,0,
189,v,8,21,1,1,0,
190,v,8,22,1,1,0,
191,v,8,23,1,1,0,
192,v,8,24,1,1,0,
193,v,9,1,1,1,0,
194,v,9,2,1,1,0,
195,v,9,3,1,1,0,
196,v,9,4,1,1,0,
197,v,9,5,1,1,0,
198,v,9,6,1,1,0,
199,v,9,7,1,1,0,
200,v,9,8,1,1,0,
201,v,9,9,1,1,0,
202,v,9,10,1,1,0,
203,v,9,11,1,1,0,
204,v,9,12,1,1,0,
205,v,9,13,1,1,0,
206,v,9,14,1,1,0,
207,v,9,15,1,1,0,
208,v,9,16,1,1,0,
209,v,9,17,1,1,0,
210,v,9,18,1,1,0,
211,v,9,19,1,1,0,
212,v,9,20,1,1,0,
213,v,9,21,1,1,0,
214,v,9,22,1,1,0,
215,v,9,23,1,1,0,
216,v,9,24,1,1,0,
217,v,10,1,1,1,0,
218,v,10,2,1,1,0,
219,v,10,3,1,1,0,
220,v,10,4,1,1,0,
221,v,10,5,1,1,0,
222,v,10,6,1,1,0,
223,v,10,7,1,1,0,
224,v,10,8,1,1,0,
225,v,10,9,1,1,0,
226,v,10,10,1,1,0,
227,v,10,11,1,1,0,
228,v,10,12,1,1,0,
229,v,10,13,1,1,0,
230,v,10,14,1,1,0,
231,v,10,15,1,1,0,
232,v,10,16,1,1,0,
233,v,10,17,1,1,0,
234,v,10,18,1,1,0,
235,v,10,19,1,1,0,
236,v,10,20,1,1,0,
237,v,10,21,1,1,0,
238,v,10,22,1,1,0,
239,v,10,23,1,1,0,
240,v,10,24,1,1,0,
241,v,11,1,1,1,0,
242,v,11,2,1,1,0,
243,v,11,3,1,1,0,
244,v,11,4,1,1,0,
245,v,11,5,1,1,0,
246,v,11,6,1,1,0,
247,v,11,7,1,1,0,
248,v,11,8,1,1,0,
249,v,11,9,1,1,0,
250,v,11,10,1,1,0,
251,v,11,11,1,1,0,
252,v,11,12,1,1,0,
253,v,11,13,1,1,0,
254,v,11,14,1,1,0,
255,v,11,15,1,1,0,
256,v,11,16,1,1,0,
257,v,11,17,1,1,0,
258,v,11,18,1,1,0,
259,v,11,19,1,1,0,
260,v,11,20,1,1,0,
261,v,11,21,1,1,0,
262,v,11,22,1,1,0,
263,v,11,23,1,1,0,
264,v,11,24,1,1,0,
265,v,12,1,1,1,0,
266,v,12,2,1,1,0,
267,v,12,3,1,1,0,
268,v,12,4,1,1,0,
269,v,12,5,1,1,0,
270,v,12,6,1,1,0,
271,v,12,7,1,1,0,
272,v,12,8,1,1,0,
273,v,12,9,1,1,0,
274,v,12,10,1,1,0,
275,v,12,11,1,1,0,
276,v,12,12,1,1,0,
277,v,12,13,1,1,0,
278,v,12,14,1,1,0,
279,v,12,15,1,1,0,
280,v,12,16,1,1,0,
281,v,12,17,1,1,0,
282,v,12,18,1,1,0,
283,v,12,19,1,1,0,
284,v,12,20,1,1,0,
285,v,12,21,1,1,0,
286,v,12,22,1,1,0,
287,v,12,23,1,1,0,
288,v,12,24,1,1,0,
289,v,13,1,1,1,0,
290,v,13,2,1,1,0,
291,v,13,3,1,1,0,
292,v,13,4,1,1,0,
293,v,13,5,1,1,0,
294,v,13,6,1,1,0,
295,v,13,7,1,1,0,
296,v,13,8,1,1,0,
297,v,13,9,1,1,0,
298,v,13,10,1,1,0,
299,v,13,11,1,1,0,
300,v,13,12,1,1,0,
301,v,13,13,1,1,0,
302,v,13,14,1,1,0,
303,v,13,15,1,1,0,
304,v,13,16,1,1,0,
305,v,13,17,1,1,0,
306,v,13,18,1,1,0,
307,v,13,19,1,1,0,
308,v,13,20,1,1,0,
309,v,13,21,1,1,0,
310,v,13,22,1,1,0,
311,v,13,23,1,1,0,
312,v,13,24,1,1,0,
313,v,14,1,1,1,0,
314,v,14,2,1,1,0,
315,v,14,3,1,1,0,
316,v,14,4,1,1,0,
317,v,14,5,1,1,0,
318,v,14,6,1,1,0,
319,v,14,7,1,1,0,
320,v,14,8,1,1,0,
321,v,14,9,1,1,0,
322,v,14,10,1,1,0,
323,v,14,11,1,1,0,
324,v,14,12,1,1,0,
325,v,14,13,1,1,0,
326,v,14,14,1,1,0,
327,v,14,15,1,1,0,
328,v,14,16,1,1,0,
329,v,14,17,1,1,0,
330,v,14,18,1,1,0,
331,v,14,19,1,1,0,
332,v,14,20,1,1,0,
333,v,14,21,1,1,0,
334,v,14,22,1,1,0,
335,v,14,23,1,1,0,
336,v,14,24,1,1,0,
337,v,15,1,1,1,0,
338,v,15,2,1,1,0,
339,v,15,3,1,1,0,
340,v,15,4,1,1,0,
341,v,15,5,1,1,0,
342,v,15,6,1,1,0,
343,v,15,7,1,1,0,
344,v,15,8,1,1,0,
345,v,15,9,1,1,0,
346,v,15,10,1,1,0,
347,v,15,11,1,1,0,
348,v,15,12,1,1,0,
349,v,15,13,1,1,0,
350,v,15,14,1,1,0,
351,v,15,15,1,1,0,
352,v,15,16,1,1,0,
353,v,15,17,1,1,0,
354,v,15,18,1,1,0,
355,v,15,19,1,1,0,
356,v,15,20,1,1,0,
357,v,15,21,1,1,0,
358,v,15,22,1,1,0,
359,v,15,23,1,1,0,
360,v,15,24,1,1,0,
361,v,16,1,1,1,0,
362,v,16,2,1,1,0,
363,v,16,3,1,1,0,
364,v,16,4,1,1,0,
365,v,16,5,1,1,0,
366,v,16,6,1,1,0,
367,v,16,7,1,1,0,
368,v,16,8,1,1,0,
369,v,16,9,1,1,0,
370,v,16,10,1,1,0,
371,v,16,11,1,1,0,
372,v,16,12,1,1,0,
373,v,16,13,1,1,0,
374,v,16,14,1,1,0,
375,v,16,15,1,1,0,
376,v,16,16,1,1,0,
377,v,16,17,1,1,0,
378,v,16,18,1,1,0,
379,v,16,19,1,1,0,
380,v,16,20,1,1,0,
381,v,16,21,1,1,0,
382,v,16,22,1,1,0,
383,v,16,23,1,1,0,
384,v,16,24,1,1,0,
385,v,17,1,1,1,0,
386,v,17,2,1,1,0,
387,v,17,3,1,1,0,
388,v,17,4,1,1,0,
389,v,17,5,1,1,0,
390,v,17,6,1,1,0,
391,v,17,7,1,1,0,
392,v,17,8,1,1,0,
393,v,17,9,1,1,0,
394,v,17,10,1,1,0,
395,v,17,11,1,1,0,
396,v,17,12,1,1,0,
397,v,17,13,1,1,0,
398,v,17,14,1,1,0,
399,v,17,15,1,1,0,
400,v,17,16,1,1,0,
401,v,17,17,1,1,0,
402,v,17,18,1,1,0,
403,v,17,19,1,1,0,
404,v,17,20,1,1,0,
405,v,17,21,1,1,0,
406,v,17,22,1,1,0,
407,v,17,23,1,1,0,
408,v,17,24,1,1,0,
409,v,18,1,1,1,0,
410,v,18,2,1,1,0,
411,v,18,3,1,1,0,
412,v,18,4,1,1,0,
413,v,18,5,1,1,0,
414,v,18,6,1,1,0,
415,v,18,7,1,1,0,
416,v,18,8,1,1,0,
417,v,18,9,1,1,0,
418,v,18,10,1,1,0,
419,v,18,11,1,1,0,
420,v,18,12,1,1,0,
421,v,18,13,1,1,0,
422,v,18,14,1,1,0,
423,v,18,15,1,1,0,
424,v,18,16,1,1,0,
425,v,18,17,1,1,0,
426,v,18,18,1,1,0,
427,v,18,19,1,1,0,
428,v,18,20,1,1,0,
429,v,18,21,1,1,0,
430,v,18,22,1,1,0,
431,v,18,23,1,1,0,
432,v,18,24,1,1,0,
433,v,19,1,1,1,0,
434,v,19,2,1,1,0,
435,v,19,3,1,1,0,
436,v,19,4,1,1,0,
437,v,19,5,1,1,0,
438,v,19,6,1,1,0,
439,v,19,7,1,1,0,
440,v,19,8,1,1,0,
441,v,19,9,1,1,0,
442,v,19,10,1,1,0,
443,v,19,11,1,1,0,
444,v,19,12,1,1,0,
445,v,19,13,1,1,0,
446,v,19,14,1,1,0,
447,v,19,15,1,1,0,
448,v,19,16,1,1,0,
449,v,19,17,1,1,0,
450,v,19,18,1,1,0,
451,v,19,19,1,1,0,
452,v,19,20,1,1,0,
453,v,19,21,1,1,0,
454,v,19,22,1,1,0,
455,v,19,23,1,1,0,
456,v,19,24,1,1,0,
457,v,20,1,1,1,0,
458,v,20,2,1,1,0,
459,v,20,3,1,1,0,
460,v,20,4,1,1,0,
461,v,20,5,1,1,0,
462,v,20,6,1,1,0,
463,v,20,7,1,1,0,
464,v,20,8,1,1,0,
465,v,20,9,1,1,0,
466,v,20,10,1,1,0,
467,v,20,11,1,1,0,
468,v,20,12,1,1,0,
469,v,20,13,1,1,0,
470,v,20,14,1,1,0,
471,v,20,15,1,1,0,
472,v,20,16,1,1,0,
473,v,20,17,1,1,0,
474,v,20,18,1,1,0,
475,v,20,19,1,1,0,
476,v,20,20,1,1,0,
477,v,20,21,1,1,0,
478,v,20,22,1,1,0,
479,v,20,23,1,1,0,
480,v,20,24,1,1,0,
481,v,21,1,1,1,0,
482,v,21,2,1,1,0,
483,v,21,3,1,1,0,
484,v,21,4,1,1,0,
485,v,21,5,1,1,0,
486,v,21,6,1,1,0,
487,v,21,7,1,1,0,
488,v,21,8,1,1,0,
489,v,21,9,1,1,0,
490,v,21,10,1,1,0,
491,v,21,11,1,1,0,
492,v,21,12,1,1,0,
493,v,21,13,1,1,0,
494,v,21,14,1,1,0,
495,v,21,15,1,1,0,
496,v,21,16,1,1,0,
497,v,21,17,1,1,0,
498,v,21,18,1,1,0,
499,v,21,19,1,1,0,
500,v,21,20,1,1,0,
501,v,21,21,1,1,0,
502,v,21,22,1,1,0,
503,v,21,23,1,1,0,
504,v,21,24,1,1,0,
505,v,22,1,1,1,0,
506,v,22,2,1,1,0,
507,v,22,3,1,1,0,
508,v,22,4,1,1,0,
509,v,22,5,1,1,0,
510,v,22,6,1,1,0,
511,v,22,7,1,1,0,
512,v,22,8,1,1,0,
513,v,22,9,1,1,0,
514,v,22,10,1,1,0,
515,v,22,11,1,1,0,
516,v,22,12,1,1,0,
517,v,22,13,1,1,0,
518,v,22,14,1,1,0,
519,v,22,15,1,1,0,
520,v,22,16,1,1,0,
521,v,22,17,1,1,0,
522,v,22,18,1,1,0,
523,v,22,19,1,1,0,
524,v,22,20,1,1,0,
525,v,22,21,1,1,0,
526,v,22,22,1,1,0,
527,v,22,23,1,1,0,
528,v,22,24,1,1,0,
529,v,23,1,1,1,0,
530,v,23,2,1,1,0,
531,v,23,3,1,1,0,
532,v,23,4,1,1,0,
533,v,23,5,1,1,0,
534,v,23,6,1,1,0,
535,v,23,7,1,1,0,
536,v,23,8,1,1,0,
537,v,23,9,1,1,0,
538,v,23,10,1,1,0,
539,v,23,11,1,1,0,
540,v,23,12,1,1,0,
541,v,23,13,1,1,0,
542,v,23,14,1,1,0,
543,v,23,15,1,1,0,
544,v,23,16,1,1,0,
545,v,23,17,1,1,0,
546,v,23,18,1,1,0,
547,v,23,19,1,1,0,
548,v,23,20,1,1,0,
549,v,23,21,1,1,0,
550,v,23,22,1,1,0,
551,v,23,23,1,1,0,
552,v,23,24,1,1,0,
553,v,24,1,1,1,0,
554,v,24,2,1,1,0,
555,v,24,3,1,1,0,
556,v,24,4,1,1,0,
557,v,24,5,1,1,0,
558,v,24,6,1,1,0,
559,v,24,7,1,1,0,
560,v,24,8,1,1,0,
561,v,24,9,1,1,0,
562,v,24,10,1,1,0,
563,v,24,11,1,1,0,
564,v,24,12,1,1,0,
565,v,24,13,1,1,0,
566,v,24,14,1,1,0,
567,v,24,15,1,1,0,
568,v,24,16,1,1,0,
569,v,24,17,1,1,0,
570,v,24,18,1,1,0,
571,v,24,19,1,1,0,
572,v,24,20,1,1,0,
573,v,24,21,1,1,0,
574,v,24,22,1,1,0,
575,v,24,23,1,1,0,
576,v,24,24,1,1,0,
