link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity1,free_speed_km,,link_type_name,link_type,link_type_code,cost,geometry,original_link_id,original_node_id,original_osm_node_id,main_node_id,movement_str,TMC,free_speed,VDF_alpha1,VDF_beta1,,VDF_fftt1,VDF_cap1,capacity_utdf,main_node_id,link_capacity,capacity,saturation_flow_rate,green_time,phase_id,cycle_length,priority
37,57001,173001,,,423.5123036,1,,104,,moto_1lane,11,a,,"LINESTRING (-111.99565 33.67274,-111.99535 33.67278,-111.99501 33.67281,-111.99328 33.67292,-111.99211 33.673,-111.9911 33.67303)",38,,,,,,71,0.15,4,,0.22243488,1704,,,1704,1704,,,,,
38,57502,143200,,,89.93140866,2,,,,moto_2lane,11,a,,"LINESTRING (-111.97843 33.67248,-111.97805 33.67253,-111.97792 33.67256,-111.97779 33.67263,-111.97768 33.67271,-111.97765 33.67274,-111.97761 33.6728,-111.97759 33.67281)",39,,,,,,71,0.15,4,,0.047233296,3409,,,3409,1704.5,,,,,
39,57502,112801,,,133.2191454,2,,,,moto_2lane,11,a,,"LINESTRING (-111.97843 33.67248,-111.97801 33.67242,-111.97783 33.67241,-111.97776 33.6724,-111.97769 33.67238,-111.97765 33.67236,-111.9776 33.6723,-111.97757 33.67224,-111.97753 33.67184)",40,,,,,,71,0.15,4,,0.069968651,3409,,,3409,1704.5,,,,,
40,58201,142700,,,23.03910654,1,,,,moto_1lane,11,a,,"LINESTRING (-111.97731 33.67166,-111.97722 33.67185)",41,,,,,,71,0.15,4,,0.012100477,1704,,,1704,1704,,,,,
41,58302,148100,,,64.17301426,2,,,,moto_2lane,11,a,,"LINESTRING (-111.97663 33.67343,-111.97686 33.67338,-111.97699 33.67333,-111.97708 33.67328,-111.97715 33.67322,-111.97719 33.67318,-111.97722 33.67316)",42,,,,,,71,0.15,4,,0.033704609,3409,,,3409,1704.5,,,,,
42,58302,143900,,,106.5367091,2,,,,moto_2lane,11,a,,"LINESTRING (-111.97663 33.67343,-111.97681 33.67347,-111.97698 33.67347,-111.97702 33.67347,-111.97706 33.67347,-111.97709 33.67348,-111.97711 33.67349,-111.97715 33.67351,-111.97718 33.67354,-111.97721 33.67356,-111.97724 33.67361,-111.97726 33.67366,-111.97726 33.67399)",43,,,,,,71,0.15,4,,0.055954644,3409,,,3409,1704.5,,,,,
43,112902,143800,,,57.87768274,1,,,,moto_1lane,11,a,,"LINESTRING (-111.97751 33.67452,-111.97759 33.67415,-111.9776 33.674)",44,,,,,,71,0.15,4,,0.030398209,1704,,,1704,1704,,,,,
44,9039900,175001,,,37.71542876,2,,,,moto_2lane,11,a,,"LINESTRING (-111.95981 33.66715,-111.95944 33.66701)",45,,,,,,71,0.15,4,,0.019808697,3409,,,3409,1704.5,,,,,
45,175001,59000,,,28.03207905,2,,,,moto_2lane,11,a,,"LINESTRING (-111.95944 33.66701,-111.95917 33.6669)",46,,,,,,71,0.15,4,,0.014722859,3409,,,3409,1704.5,,,,,
46,9040000,59301,,,47.34558406,2,,,,moto_2lane,11,a,,"LINESTRING (-111.96032 33.66863,-111.96032 33.66863,-111.96078 33.66881)",47,,,,,,71,0.15,4,,0.024866596,3409,,,3409,1704.5,,,,,
47,50102,60500,,,442.2258026,1,,72,,moto_1lane,11,a,,"LINESTRING (-112.02405 33.67284,-112.02454 33.67289,-112.025 33.67291,-112.02616 33.67297,-112.02711 33.67303,-112.02793 33.67304,-112.02881 33.67299)",48,,,,,,71,0.15,4,,0.232263484,1704,,,1704,1704,,,,,
48,60602,152800,,,90.60606282,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.02998 33.67287,-112.03049 33.6727,-112.03067 33.67261,-112.03073 33.67256,-112.03083 33.67249,-112.03083 33.67248)",49,,,,,,71,0.15,4,,0.047587634,3409,,,3409,1704.5,,,,,
49,202001,9036900,,,7.326852645,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03109 33.67253,-112.03106 33.67247)",51,,,,,,71,0.15,4,,0.003848171,3409,,,3409,1704.5,,,,,
50,9036901,152400,,,6.720570613,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03095 33.67232,-112.03091 33.67227)",53,,,,,,71,0.15,4,,0.003529742,3409,,,3409,1704.5,,,,,
51,152401,61002,,,75.61498006,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03082 33.67218,-112.03077 33.67213,-112.03069 33.67208,-112.03057 33.67204,-112.03039 33.67201,-112.03007 33.67205)",54,,,,,,71,0.15,4,,0.039714098,3409,,,3409,1704.5,,,,,
52,9040300,71302,,,53.51874778,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03122 33.67263,-112.03179 33.67252)",55,,,,,,71,0.15,4,,0.028108832,3409,,,3409,1704.5,,,,,
53,64202,64700,,,197.1143205,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.11298 33.66571,-112.11295 33.66596,-112.11289 33.66633,-112.11283 33.66662,-112.11279 33.66686,-112.11275 33.66717,-112.11276 33.66747)",56,,,,,,70,0.15,4,,0.105006297,3482,,,3482,1741,,,,,
54,64001,65200,,,27.7081755,2,,,,moto_2lane,11,a,,"LINESTRING (-112.12691 33.66862,-112.12663 33.66851)",57,,,,,,70,0.15,4,,0.014760637,3482,,,3482,1741,,,,,
55,65602,60202,,,968.7308976,1,,72,,moto_1lane,11,a,,"LINESTRING (-112.11831 33.66831,-112.11799 33.66832,-112.11703 33.66831,-112.11629 33.6683,-112.11566 33.66828,-112.11531 33.66829,-112.11501 33.66831,-112.11473 33.66836,-112.11443 33.66844,-112.11413 33.66855,-112.11388 33.66868,-112.11367 33.66881,-112.11344 33.66898,-112.11325 33.66916,-112.11303 33.6694,-112.11293 33.66954,-112.11286 33.66965,-112.11276 33.6699,-112.11268 33.67014,-112.11261 33.67047,-112.11261 33.67095,-112.11263 33.67328)",58,,,,,,70,0.15,4,,0.516060143,1741,,,1741,1741,,,,,
56,52102,66000,,,667.698765,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.1083 33.66922,-112.10842 33.66919,-112.10905 33.6692,-112.10958 33.66921,-112.11004 33.66922,-112.11033 33.66923,-112.11051 33.66923,-112.11064 33.66923,-112.11108 33.66924,-112.11141 33.66923,-112.11173 33.6692,-112.1121 33.66912,-112.11239 33.66903,-112.11262 33.66894,-112.11268 33.66891,-112.11285 33.66883,-112.11306 33.6687,-112.11317 33.66863,-112.11336 33.6685,-112.11353 33.66834,-112.11377 33.66806,-112.11396 33.66777,-112.11404 33.66762,-112.11416 33.66732,-112.11421 33.6671)",59,,,,,,70,0.15,4,,0.355694983,3482,,,3482,1741,,,,,
57,66202,77000,,,147.8461035,1,,,,moto_1lane,11,a,,"LINESTRING (-112.11374 33.67229,-112.11387 33.6719,-112.11397 33.67149,-112.11401 33.67138,-112.11404 33.67127,-112.11409 33.67113,-112.11416 33.671)",60,,,,,,70,0.15,4,,0.078760243,1741,,,1741,1741,,,,,
58,51901,66401,,,566.1724277,1,,72,,moto_1lane,11,a,,"LINESTRING (-112.10731 33.66888,-112.10756 33.66893,-112.10767 33.66894,-112.10834 33.66898,-112.10905 33.66902,-112.10958 33.66906,-112.11005 33.66914,-112.11033 33.6692,-112.11064 33.66928,-112.11108 33.66938,-112.11141 33.66946,-112.11214 33.66962,-112.11289 33.66974,-112.1133 33.66981)",61,,,,,,70,0.15,4,,0.301610101,1741,,,1741,1741,,,,,
59,61202,71000,,,130.5370231,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03291 33.67227,-112.03323 33.67214,-112.03379 33.67198,-112.03422 33.67184)",62,,,,,,71,0.15,4,,0.068559961,3409,,,3409,1704.5,,,,,
60,50401,71100,,,362.6921926,1,,72,,moto_1lane,11,a,,"LINESTRING (-112.03788 33.67001,-112.03749 33.67011,-112.03698 33.67026,-112.03649 33.67041,-112.03546 33.67071,-112.03419 33.67111)",63,,,,,,71,0.15,4,,0.190491264,1704,,,1704,1704,,,,,
61,71202,152200,,,95.44776979,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03205 33.67165,-112.03149 33.67184,-112.03134 33.67194,-112.03119 33.67205,-112.03117 33.67208)",64,,,,,,71,0.15,4,,0.05013057,3409,,,3409,1704.5,,,,,
62,152201,9036902,,,12.47897711,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03109 33.67217,-112.03104 33.67228)",65,,,,,,71,0.15,4,,0.006554142,3409,,,3409,1704.5,,,,,
63,152001,9036903,,,14.97278124,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.0309 33.672,-112.03095 33.67213)",66,,,,,,71,0.15,4,,0.007863925,3409,,,3409,1704.5,,,,,
64,9036904,152700,,,6.296694293,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03104 33.67229,-112.03108 33.67233)",68,,,,,,71,0.15,4,,0.003307116,3409,,,3409,1704.5,,,,,
65,152701,71302,,,57.4637611,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.03119 33.67241,-112.03121 33.67243,-112.03136 33.67248,-112.03144 33.67251,-112.03179 33.67252)",69,,,,,,71,0.15,4,,0.030180811,3409,,,3409,1704.5,,,,,
66,51301,357000,,,315.6260557,1,,,,moto_1lane,11,a,,"LINESTRING (-112.05843 33.66921,-112.0599 33.66928,-112.06183 33.66935)",70,,,,,,71,0.15,4,,0.165771438,1704,,,1704,1704,,,,,
67,70701,356800,,,116.761397,2,,,,moto_2lane,11,a,,"LINESTRING (-112.06414 33.66843,-112.06368 33.66852,-112.06308 33.6686,-112.0629 33.66863)",71,,,,,,70,0.15,4,,0.062200869,3482,,,3482,1741,,,,,
68,71701,357200,,,155.2055215,2,,,,moto_2lane,11,a,,"LINESTRING (-112.06815 33.66938,-112.06868 33.6693,-112.06981 33.66922)",72,,,,,,70,0.15,4,,0.082680736,3482,,,3482,1741,,,,,
69,72001,82900,,,249.472555,1,,,,moto_1lane,11,a,,"LINESTRING (-112.07354 33.66873,-112.07329 33.66868,-112.07153 33.66864,-112.07086 33.66859)",73,,,,,,70,0.15,4,,0.132898458,1741,,,1741,1741,,,,,
70,70402,357500,,,147.3093812,2,,,,moto_2lane,11,a,,"LINESTRING (-112.08149 33.66811,-112.0805 33.66826,-112.07992 33.66833)",74,,,,,,70,0.15,4,,0.078474322,3482,,,3482,1741,,,,,
71,51502,357400,,,201.9646574,1,,,,moto_1lane,11,a,,"LINESTRING (-112.07663 33.66894,-112.07686 33.66901,-112.07798 33.66904,-112.0788 33.66908)",75,,,,,,70,0.15,4,,0.107590158,1741,,,1741,1741,,,,,
72,72300,72400,,,150.3850888,2,,,,moto_2lane,11,a,,"LINESTRING (-112.08426 33.66917,-112.08533 33.66913,-112.08588 33.66915)",76,,,,,,70,0.15,4,,0.080112806,3482,,,3482,1741,,,,,
73,72602,72700,,,396.3355661,1,,,,moto_1lane,11,a,,"LINESTRING (-112.08975 33.66917,-112.08954 33.66906,-112.08863 33.66892,-112.08725 33.66871,-112.08558 33.66843)",77,,,,,,70,0.15,4,,0.21113499,1741,,,1741,1741,,,,,
74,72802,72900,,,450.5742491,1,,,,moto_1lane,11,a,,"LINESTRING (-112.09271 33.66969,-112.09297 33.66978,-112.09327 33.66981,-112.09419 33.66988,-112.09602 33.67002,-112.09667 33.67004,-112.09702 33.67005,-112.09733 33.67005,-112.09754 33.67005)",78,,,,,,70,0.15,4,,0.240028899,1741,,,1741,1741,,,,,
75,70102,73100,,,134.5250456,2,,,,moto_2lane,11,a,,"LINESTRING (-112.09806 33.66915,-112.09801 33.66917,-112.09795 33.66918,-112.09788 33.66918,-112.0973 33.66923,-112.09697 33.66925,-112.09662 33.66928)",79,,,,,,70,0.15,4,,0.071663879,3482,,,3482,1741,,,,,
76,70002,200700,,,92.23460266,2,,,,moto_2lane,11,a,,"LINESTRING (-112.11371 33.66794,-112.11335 33.66808,-112.11306 33.66813,-112.11277 33.66819)",80,,,,,,70,0.15,4,,0.04913501,3482,,,3482,1741,,,,,
77,66601,200900,,,255.845525,2,,72,,moto_2lane,11,a,,"LINESTRING (-112.11877 33.66957,-112.11903 33.66949,-112.11972 33.66939,-112.12091 33.66923,-112.12148 33.66916)",81,,,,,,70,0.15,4,,0.136293452,3482,,,3482,1741,,,,,
78,65401,69901,,,488.5467703,1,,72,,moto_1lane,11,a,,"LINESTRING (-112.12386 33.66841,-112.12302 33.66834,-112.12265 33.66831,-112.1219 33.66825,-112.12084 33.66816,-112.11896 33.668,-112.11863 33.66792)",82,,,,,,70,0.15,4,,0.260257535,1741,,,1741,1741,,,,,
79,67001,73500,,,72.24149527,2,,,,moto_2lane,11,a,,"LINESTRING (-112.13653 33.67001,-112.13673 33.66999,-112.13731 33.66999)",83,,,,,,70,0.15,4,,0.038484327,3482,,,3482,1741,,,,,
