link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_code
26807,14278,14282,0717:20.000_0717:26.000,6,1,g
26807,14278,14282,0717:26.000_0719:00.000,94,0,r
26807,14278,14282,0719:00.000_0719:06.000,6,1,g
26807,14278,14282,0719:06.000_0720:40.000,94,0,r
26807,14278,14282,0720:40.000_0720:46.000,6,1,g
26807,14278,14282,0720:46.000_0722:20.000,94,0,r
26807,14278,14282,0722:20.000_0722:26.000,6,1,g
26807,14278,14282,0722:26.000_0724:00.000,94,0,r
26807,14278,14282,0724:00.000_0724:06.000,6,1,g
26807,14278,14282,0724:06.000_0725:40.000,94,0,r
26807,14278,14282,0725:40.000_0725:46.000,6,1,g
26807,14278,14282,0725:46.000_0727:20.000,94,0,r
26807,14278,14282,0727:20.000_0727:26.000,6,1,g
26807,14278,14282,0727:26.000_0729:00.000,94,0,r
26807,14278,14282,0729:00.000_0729:06.000,6,1,g
26807,14278,14282,0729:06.000_0730:40.000,94,0,r
26807,14278,14282,0730:40.000_0730:46.000,6,1,g
26807,14278,14282,0730:46.000_0732:20.000,94,0,r
26807,14278,14282,0732:20.000_0732:26.000,6,1,g
26807,14278,14282,0732:26.000_0734:00.000,94,0,r
26807,14278,14282,0734:00.000_0734:06.000,6,1,g
26807,14278,14282,0734:06.000_0735:40.000,94,0,r
26807,14278,14282,0735:40.000_0735:46.000,6,1,g
26807,14278,14282,0735:46.000_0737:20.000,94,0,r
26807,14278,14282,0737:20.000_0737:26.000,6,1,g
26807,14278,14282,0737:26.000_0739:00.000,94,0,r
26807,14278,14282,0739:00.000_0739:06.000,6,1,g
26807,14278,14282,0739:06.000_0740:40.000,94,0,r
26807,14278,14282,0740:40.000_0740:46.000,6,1,g
26807,14278,14282,0740:46.000_0742:20.000,94,0,r
26807,14278,14282,0742:20.000_0742:26.000,6,1,g
26807,14278,14282,0742:26.000_0744:00.000,94,0,r
26807,14278,14282,0744:00.000_0744:06.000,6,1,g
26807,14278,14282,0744:06.000_0745:40.000,94,0,r
26807,14278,14282,0745:40.000_0745:46.000,6,1,g
26807,14278,14282,0745:46.000_0747:20.000,94,0,r
26807,14278,14282,0747:20.000_0747:26.000,6,1,g
26807,14278,14282,0747:26.000_0749:00.000,94,0,r
26807,14278,14282,0749:00.000_0749:06.000,6,1,g
26807,14278,14282,0749:06.000_0750:40.000,94,0,r
26807,14278,14282,0750:40.000_0750:46.000,6,1,g
26807,14278,14282,0750:46.000_0752:20.000,94,0,r
26807,14278,14282,0752:20.000_0752:26.000,6,1,g
26807,14278,14282,0752:26.000_0754:00.000,94,0,r
26807,14278,14282,0754:00.000_0754:06.000,6,1,g
26807,14278,14282,0754:06.000_0755:40.000,94,0,r
26807,14278,14282,0755:40.000_0755:46.000,6,1,g
26807,14278,14282,0755:46.000_0757:20.000,94,0,r
26807,14278,14282,0757:20.000_0757:26.000,6,1,g
26807,14278,14282,0757:26.000_0759:00.000,94,0,r
26807,14278,14282,0759:00.000_0759:06.000,6,1,g
26807,14278,14282,0759:06.000_0800:40.000,94,0,r
26807,14278,14282,0800:40.000_0800:46.000,6,1,g
26807,14278,14282,0800:46.000_0802:20.000,94,0,r
26807,14278,14282,0802:20.000_0802:26.000,6,1,g
26807,14278,14282,0802:26.000_0804:00.000,94,0,r
26807,14278,14282,0804:00.000_0804:06.000,6,1,g
26807,14278,14282,0804:06.000_0805:40.000,94,0,r
26807,14278,14282,0805:40.000_0805:46.000,6,1,g
26807,14278,14282,0805:46.000_0807:20.000,94,0,r
26807,14278,14282,0807:20.000_0807:26.000,6,1,g
26807,14278,14282,0807:26.000_0809:00.000,94,0,r
26807,14278,14282,0809:00.000_0809:06.000,6,1,g
26807,14278,14282,0809:06.000_0810:40.000,94,0,r
26807,14278,14282,0810:40.000_0810:46.000,6,1,g
26807,14278,14282,0810:46.000_0812:20.000,94,0,r
26807,14278,14282,0812:20.000_0812:26.000,6,1,g
26807,14278,14282,0812:26.000_0814:00.000,94,0,r
26807,14278,14282,0814:00.000_0814:06.000,6,1,g
26807,14278,14282,0814:06.000_0815:40.000,94,0,r
26807,14278,14282,0815:40.000_0815:46.000,6,1,g
26807,14278,14282,0815:46.000_0817:20.000,94,0,r
26807,14278,14282,0817:20.000_0817:26.000,6,1,g
26807,14278,14282,0817:26.000_0819:00.000,94,0,r
26807,14278,14282,0819:00.000_0819:06.000,6,1,g
26807,14278,14282,0819:06.000_0820:40.000,94,0,r
26807,14278,14282,0820:40.000_0820:46.000,6,1,g
26807,14278,14282,0820:46.000_0822:20.000,94,0,r
26807,14278,14282,0822:20.000_0822:26.000,6,1,g
26807,14278,14282,0822:26.000_0824:00.000,94,0,r
26807,14278,14282,0824:00.000_0824:06.000,6,1,g
26807,14278,14282,0824:06.000_0825:40.000,94,0,r
26807,14278,14282,0825:40.000_0825:46.000,6,1,g
26807,14278,14282,0825:46.000_0827:20.000,94,0,r
26807,14278,14282,0827:20.000_0827:26.000,6,1,g
26807,14278,14282,0827:26.000_0829:00.000,94,0,r
