link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
38,31,37,C1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.161528 33.654380, -112.168717 33.648094)",
39,37,31,C2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.168717 33.648093, -112.161528 33.654379)",
40,38,33,E1,0600_1000,10300.000,0.000,10300.000,1.000,"LINESTRING (-112.117524 33.662468, -112.115041 33.654688)",
41,33,38,E1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.115040 33.654688, -112.117523 33.662469)",
42,33,39,E1,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.115041 33.654688, -112.115355 33.646833)",
43,39,33,E2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.115354 33.646833, -112.115040 33.654688)",
44,40,35,F1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.094357 33.660427, -112.088630 33.654881)",
45,35,40,F1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.088630 33.654882, -112.094356 33.660427)",
46,35,41,F1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.088630 33.654882, -112.099647 33.647918)",
47,41,35,F2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.099647 33.647918, -112.088630 33.654881)",
48,4,36,B1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.182704 33.667637, -112.168880 33.660658)",
49,2,34,H1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.029867 33.655287, -112.063388 33.655056)",
50,34,35,G1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.063388 33.655056, -112.088630 33.654882)",
51,35,33,F1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.088630 33.654882, -112.115041 33.654688)",
52,33,32,E1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.115041 33.654688, -112.136488 33.654552)",
53,32,31,D1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.136488 33.654552, -112.161528 33.654380)",
54,31,30,C1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.161528 33.654380, -112.188588 33.654193)",
55,30,1,B1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.188588 33.654193, -112.216413 33.653927)",
56,7,38,E1,0600_1000,10300.000,0.000,10300.000,1.000,"LINESTRING (-112.120306 33.668067, -112.117524 33.662468)",
57,38,7,E1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.117523 33.662469, -112.120306 33.668067)",
58,39,23,E2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.115355 33.646833, -112.117340 33.639870)",
59,23,39,E2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.117340 33.639870, -112.115354 33.646833)",
60,7,42,E1,0600_1000,7300.000,0.000,7300.000,1.000,"LINESTRING (-112.120306 33.668067, -112.119621 33.671412)",
61,42,7,E1,0600_1000,7300.000,0.000,7300.000,1.000,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067)",
62,23,43,E2,0600_1000,7300.000,0.000,7300.000,1.000,"LINESTRING (-112.117340 33.639870, -112.116949 33.634858)",
63,43,23,E2,0600_1000,7300.000,0.000,7300.000,1.000,"LINESTRING (-112.116948 33.634858, -112.117340 33.639870)",
64,11,44,H1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.046196 33.668577, -112.005727 33.668752)",
65,44,11,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.005727 33.668753, -112.046196 33.668578)",
66,44,45,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.005727 33.668752, -111.963730 33.667623)",
67,45,44,K1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.963730 33.667624, -112.005727 33.668753)",
68,45,46,K1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.963730 33.667623, -111.932894 33.662770)",
69,46,45,L1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.932894 33.662771, -111.963730 33.667624)",
70,2,47,H1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.029867 33.655286, -112.002470 33.654895)",
71,47,2,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.002470 33.654896, -112.029867 33.655287)",
72,47,48,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.002470 33.654895, -111.964208 33.653639)",
73,48,47,K1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.964207 33.653640, -112.002470 33.654896)",
74,48,49,K1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.964207 33.653639, -111.929702 33.653978)",
75,49,48,L1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.929702 33.653979, -111.964208 33.653640)",
76,44,47,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.005728 33.668752, -112.002470 33.654895)",
77,47,44,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.002470 33.654895, -112.005727 33.668752)",
78,47,50,I1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.002470 33.654895, -112.001827 33.639197)",
79,50,47,I2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.001826 33.639197, -112.002470 33.654895)",
