agent_id,o_zone_id,d_zone_id,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,distance,path_code,node_sequence,link_sequence,time_sequence,geometry
15,42,2,0,0,info,AM,0.00,0,1,0,0.0,219.8,219.7510,12.0000,,42;7;38;33;39;23;24;25;26;27;28;29;2;,61;56;40;42;58;21;22;23;24;25;26;27;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1035:32.680;1126:53.433;1128:43.666;1130:33.900;1132:24.133;1134:14.366;1136:04.599;1137:54.832;1139:45.065;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
16,42,4,0,0,info,AM,0.00,0,1,0,0.0,183.3,183.2991,9.0000,,42;7;38;33;32;31;30;1;3;4;,61;56;40;52;53;54;55;1;2;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;1049:13.432;1103:17.951;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
17,42,43,0,0,info,AM,0.00,0,1,0,0.0,238.0,237.9858,6.0000,,42;7;38;33;39;23;43;,61;56;40;42;58;62;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1035:32.680;1126:53.433;1157:59.146;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858)"
18,42,1,0,0,vms,AM,0.00,0,1,0,0.0,157.7,157.6914,7.0000,,42;7;38;33;32;31;30;1;,61;56;40;52;53;54;55;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
19,42,2,0,0,vms,AM,0.00,0,1,0,0.0,43.5,43.4675,7.0000,,42;7;8;9;10;11;12;2;,61;6;7;10;8;9;28;,0800:00.000;0831:05.712;0832:34.156;0834:02.600;0837:26.601;0840:50.603;0842:19.046;0843:28.048;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
20,42,4,0,0,vms,AM,0.00,0,1,0,0.0,183.3,183.2991,9.0000,,42;7;38;33;32;31;30;1;3;4;,61;56;40;52;53;54;55;1;2;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;1049:13.432;1103:17.951;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
21,42,43,0,0,vms,AM,0.00,0,1,0,0.0,238.0,237.9858,6.0000,,42;7;38;33;39;23;43;,61;56;40;42;58;62;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1035:32.680;1126:53.433;1157:59.146;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858)"
22,42,1,0,0,activity,AM,0.00,0,1,0,0.0,157.7,157.6914,7.0000,,42;7;38;33;32;31;30;1;,61;56;40;52;53;54;55;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
23,42,2,0,0,activity,AM,0.00,0,1,0,0.0,43.5,43.4675,7.0000,,42;7;8;9;10;11;12;2;,61;6;7;10;8;9;28;,0800:00.000;0831:05.712;0832:34.156;0834:02.600;0837:26.601;0840:50.603;0842:19.046;0843:28.048;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
24,42,4,0,0,activity,AM,0.00,0,1,0,0.0,183.3,183.2991,9.0000,,42;7;38;33;32;31;30;1;3;4;,61;56;40;52;53;54;55;1;2;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;1049:13.432;1103:17.951;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
25,42,43,0,0,activity,AM,0.00,0,1,0,0.0,238.0,237.9858,6.0000,,42;7;38;33;39;23;43;,61;56;40;42;58;62;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1035:32.680;1126:53.433;1157:59.146;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858)"
26,43,1,0,0,sov,AM,0.00,0,1,0,0.0,36.6,36.6337,7.0000,,43;23;39;33;32;31;30;1;,63;59;43;52;53;54;55;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
27,43,2,0,0,sov,AM,100.00,100,1,0,0.0,8.8,43.9556,8.0000,,43;23;24;25;26;27;28;29;2;,63;21;22;23;24;25;26;27;,0800:00.000;0831:05.712;0832:55.946;0834:46.179;0836:36.412;0838:26.645;0840:16.878;0842:07.111;0843:57.344;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
28,43,4,0,0,sov,AM,0.00,0,1,0,0.0,62.2,62.2414,9.0000,,43;23;39;33;32;31;30;1;3;4;,63;59;43;52;53;54;55;1;2;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;0848:09.971;0902:14.490;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
29,43,42,0,0,sov,AM,0.00,0,1,0,0.0,65.9,65.8828,6.0000,,43;23;39;33;38;7;42;,63;59;43;41;57;60;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0905:52.968;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.117523 33.662469, -112.120306 33.668067, -112.119622 33.671412)"
30,43,1,0,0,info,AM,0.00,0,1,0,0.0,36.6,36.6337,7.0000,,43;23;39;33;32;31;30;1;,63;59;43;52;53;54;55;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
31,43,2,0,0,info,AM,0.00,0,1,0,0.0,44.0,43.9556,8.0000,,43;23;24;25;26;27;28;29;2;,63;21;22;23;24;25;26;27;,0800:00.000;0831:05.712;0832:55.946;0834:46.179;0836:36.412;0838:26.645;0840:16.878;0842:07.111;0843:57.344;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
32,43,4,0,0,info,AM,0.00,0,1,0,0.0,62.2,62.2414,9.0000,,43;23;39;33;32;31;30;1;3;4;,63;59;43;52;53;54;55;1;2;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;0848:09.971;0902:14.490;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
33,43,42,0,0,info,AM,0.00,0,1,0,0.0,65.9,65.8828,6.0000,,43;23;39;33;38;7;42;,63;59;43;41;57;60;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0905:52.968;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.117523 33.662469, -112.120306 33.668067, -112.119622 33.671412)"
34,43,1,0,0,vms,AM,0.00,0,1,0,0.0,36.6,36.6337,7.0000,,43;23;39;33;32;31;30;1;,63;59;43;52;53;54;55;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
35,43,2,0,0,vms,AM,0.00,0,1,0,0.0,44.0,43.9556,8.0000,,43;23;24;25;26;27;28;29;2;,63;21;22;23;24;25;26;27;,0800:00.000;0831:05.712;0832:55.946;0834:46.179;0836:36.412;0838:26.645;0840:16.878;0842:07.111;0843:57.344;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
36,43,4,0,0,vms,AM,0.00,0,1,0,0.0,62.2,62.2414,9.0000,,43;23;39;33;32;31;30;1;3;4;,63;59;43;52;53;54;55;1;2;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;0848:09.971;0902:14.490;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
37,43,42,0,0,vms,AM,0.00,0,1,0,0.0,65.9,65.8828,6.0000,,43;23;39;33;38;7;42;,63;59;43;41;57;60;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0905:52.968;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.117523 33.662469, -112.120306 33.668067, -112.119622 33.671412)"
38,43,1,0,0,activity,AM,0.00,0,1,0,0.0,36.6,36.6337,7.0000,,43;23;39;33;32;31;30;1;,63;59;43;52;53;54;55;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
39,43,2,0,0,activity,AM,0.00,0,1,0,0.0,44.0,43.9556,8.0000,,43;23;24;25;26;27;28;29;2;,63;21;22;23;24;25;26;27;,0800:00.000;0831:05.712;0832:55.946;0834:46.179;0836:36.412;0838:26.645;0840:16.878;0842:07.111;0843:57.344;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
40,43,4,0,0,activity,AM,0.00,0,1,0,0.0,62.2,62.2414,9.0000,,43;23;39;33;32;31;30;1;3;4;,63;59;43;52;53;54;55;1;2;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0835:42.641;0836:38.027;0848:09.971;0902:14.490;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
41,43,42,0,0,activity,AM,0.00,0,1,0,0.0,65.9,65.8828,6.0000,,43;23;39;33;38;7;42;,63;59;43;41;57;60;,0800:00.000;0831:05.712;0832:01.098;0832:56.484;0833:51.870;0834:47.255;0905:52.968;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.115354 33.646833, -112.115041 33.654688, -112.117523 33.662469, -112.120306 33.668067, -112.119622 33.671412)"
